N	3gram	Savitsky_E	Marksizm
1	с точки зрения	16	46
2	не может быть	2	25
3	в то же	15	15
4	то же время	14	15
5	в том что	6	14
6	бы то ни	4	12
7	то ни было	4	12
8	для того чтобы	5	11
9	но в то	2	9
10	в большинстве случаев	2	9
11	в отношении к	12	8
12	с другой стороны	2	7
13	в свою очередь	2	7
14	во всяком случае	3	6
15	на то что	2	6
16	с одной стороны	8	6
17	той или иной	4	5
18	как мы видели	2	5
19	в этом отношении	3	5
20	и прежде всего	3	4
21	можно сказать что	3	4
22	каких бы то	2	4
23	в применении к	3	3
24	друг с другом	3	3
25	можно было бы	3	3
26	или хотя бы	2	3
27	одной стороны и	6	3
28	не только в	4	3
29	хотя бы и	3	3
30	и в этом	4	3
31	в той или	3	3
32	прежде всего в	2	2
33	само по себе	4	2
34	же как и	3	2
35	так и в	2	2
36	так же как	5	2
37	в данном случае	2	2
38	рано или поздно	2	2
39	хотя бы в	2	2
40	мы можем сказать	2	2
41	друг от друга	2	2
42	ту или иную	3	2
43	в этом смысле	3	2
44	дело идет о	2	2
45	того или иного	4	2
