N	2gram	Bakhtin_Fr	Problema
1	и в	68	182
2	то есть	31	165
3	и не	25	152
4	вовсе не	18	145
5	то что	11	144
6	не только	21	104
7	потому что	3	89
8	в этом	28	88
9	может быть	10	82
10	том что	6	81
11	в том	12	81
12	только в	9	73
13	сказать что	3	72
14	но и	17	70
15	в виде	2	69
16	у нас	4	68
17	также и	6	68
18	и даже	7	66
19	даже и	3	63
20	не менее	2	58
21	о том	5	57
22	так и	8	56
23	а не	6	56
24	но в	20	55
25	ни в	6	51
26	и вообще	3	48
27	в себе	5	48
28	смысле слова	5	47
29	было бы	4	46
30	в своей	11	45
31	прежде всего	23	45
32	что в	14	44
33	в его	21	44
34	все эти	16	43
35	не в	2	43
36	таким образом	22	42
37	как раз	8	42
38	то же	14	42
39	так как	7	40
40	и то	2	40
41	что он	7	40
42	и что	2	40
43	не может	5	39
44	в этой	15	39
45	такого рода	5	39
46	во всяком	2	39
47	как бы	7	39
48	той или	2	38
49	в данном	5	38
50	никак не	3	37
51	хотя бы	2	37
52	того что	3	37
53	в нем	12	37
54	еще не	3	36
55	точки зрения	8	36
56	и все	16	36
57	в виду	8	34
58	и с	15	34
59	как и	17	34
60	уже не	2	34
61	или иной	2	33
62	в таком	2	33
63	в то	14	32
64	здесь не	5	32
65	но не	4	32
66	в своем	11	31
67	в конце	8	31
68	связи с	8	31
69	все это	6	31
70	так же	3	31
71	но это	5	31
72	с другой	8	30
73	и для	6	30
74	в настоящее	2	30
75	настоящее время	2	30
76	как мы	18	29
77	перед нами	4	29
78	все же	6	29
79	об этом	3	29
80	в связи	7	29
81	можно сказать	2	29
82	данном случае	3	28
83	и о	5	28
84	мы не	3	28
85	а в	3	28
86	и как	5	27
87	ничего не	4	27
88	и это	5	27
89	хотя и	2	27
90	еще и	6	26
91	как будто	2	26
92	вместе с	4	26
93	это не	5	26
94	да и	2	26
95	другой стороны	5	26
96	и его	26	26
97	с точки	4	25
98	и на	16	25
99	всяком случае	2	25
100	на самом	7	24
101	и вполне	2	24
102	в нашем	5	24
103	тут же	3	23
104	мы находим	3	23
105	при этом	5	23
106	конце концов	3	23
107	в качестве	2	23
108	по своему	3	23
109	никогда не	2	22
110	и если	2	22
111	его в	7	22
112	и есть	5	22
113	только на	4	22
114	что и	3	22
115	и от	4	22
116	другими словами	4	22
117	раз и	2	22
118	всех этих	5	22
119	и к	4	22
120	и ее	3	21
121	а также	6	21
122	в самом	6	21
123	и потому	6	20
124	как о	2	20
125	но как	5	20
126	для того	5	20
127	именно в	5	20
128	о чем	3	20
129	можно было	3	20
130	или в	3	20
131	тем что	6	20
132	в отношении	3	19
133	как нечто	3	19
134	то в	2	19
135	если бы	3	19
136	кроме того	5	19
137	но только	2	19
138	он не	11	19
139	с ним	3	19
140	уже в	4	19
141	самом деле	5	19
142	в них	19	19
143	это есть	2	19
144	как в	4	19
145	жизни и	6	19
146	того же	4	18
147	того чтобы	6	18
148	в ее	5	18
149	в этих	8	18
150	не было	7	18
151	в ней	6	18
152	что здесь	2	17
153	мы уже	19	17
154	и здесь	5	17
155	в языке	2	17
156	это и	4	17
157	что они	3	17
158	тех или	2	17
159	во всех	8	17
160	но даже	2	16
161	но все	5	16
162	же в	2	16
163	далеко не	3	16
164	для этого	3	16
165	будто бы	2	16
166	он и	10	16
167	в чем	3	15
168	здесь в	6	15
169	и более	2	15
170	всякого рода	2	15
171	в частности	4	15
172	у него	14	15
173	с этим	2	15
174	в той	7	15
175	и сам	5	15
176	не так	3	14
177	что все	2	14
178	говорит о	2	14
179	в дальнейшем	4	14
180	уже и	2	14
181	сих пор	6	14
182	нас в	2	14
183	в котором	3	14
184	до сих	6	14
185	который в	2	13
186	дело в	4	13
187	здесь только	3	13
188	в других	4	13
189	из этого	3	13
190	в их	6	13
191	мы имеем	2	13
192	в области	5	13
193	уже давно	2	13
194	же и	4	13
195	из них	8	13
196	но именно	3	12
197	в которой	6	12
198	в другом	3	12
199	с одной	5	12
200	и очень	2	12
201	в целом	3	12
202	что это	4	12
203	в начале	5	12
204	в литературе	10	12
205	и следовательно	3	11
206	и во	6	11
207	в нашей	2	11
208	в истории	5	11
209	или иных	2	11
210	тот же	4	11
211	в таких	3	11
212	одной стороны	4	11
213	и у	2	11
214	и их	5	11
215	без всякой	2	11
216	к нему	4	11
217	свидетельствует о	2	11
218	в заключение	4	10
219	и сама	2	10
220	один из	9	10
221	быть и	2	10
222	все время	3	10
223	слова и	3	10
224	что у	2	10
225	что для	2	10
226	в одном	7	10
227	он в	2	10
228	представление о	2	10
229	относится к	2	10
230	только то	2	10
231	со всеми	5	10
232	на том	2	10
233	в году	11	10
234	но он	9	10
235	в условиях	3	9
236	здесь мы	3	9
237	которые в	2	9
238	в художественном	3	9
239	и до	14	9
240	это вовсе	2	9
241	имеется в	2	9
242	только для	6	9
243	и наконец	5	9
244	в своих	7	9
245	их в	7	9
246	мы говорили	2	9
247	не был	4	9
248	это было	2	9
249	о котором	2	9
250	поэтому и	4	9
251	и другие	4	9
252	жизнь и	2	9
253	и тут	2	8
254	как он	4	8
255	мы здесь	2	8
256	от этого	2	8
257	на его	4	8
258	и по	4	8
259	для него	7	8
260	значение в	4	8
261	входит в	2	8
262	еще в	4	8
263	и особенно	2	8
264	тем же	2	8
265	вплоть до	5	8
266	здесь нет	2	8
267	из этих	2	8
268	и самый	2	8
269	он был	5	8
270	во всей	3	8
271	и он	2	8
272	и этот	2	8
273	как они	2	8
274	но ведь	3	8
275	и при	2	8
276	это уже	2	8
277	и образ	2	8
278	во всем	4	8
279	конечно не	4	8
280	и весь	2	8
281	за это	2	7
282	что на	2	7
283	друг друга	2	7
284	времени и	5	7
285	одной из	3	7
286	на землю	2	7
287	говорят о	3	7
288	в основе	7	7
289	в эпоху	18	7
290	до нас	8	7
291	в значительной	3	7
292	и так	5	7
293	все они	5	7
294	еще более	5	7
295	ни от	2	7
296	все в	2	7
297	даже в	4	7
298	во все	3	7
299	не на	2	7
300	в это	2	7
301	не раз	2	7
302	мира и	4	7
303	о своем	2	7
304	по преимуществу	3	7
305	это в	4	7
306	и всего	2	7
307	для которого	2	6
308	по своей	4	6
309	этого слова	3	6
310	имеем в	2	6
311	до конца	10	6
312	есть и	4	6
313	после этого	2	6
314	видно что	4	6
315	гораздо больше	3	6
316	стороны и	2	6
317	в общем	2	6
318	во время	17	6
319	с его	6	6
320	и той	2	6
321	одновременно и	3	6
322	дело не	3	6
323	образ и	2	6
324	особенно в	6	6
325	на свете	2	6
326	перестает быть	2	6
327	мы еще	8	6
328	прежде чем	2	6
329	этом отношении	4	6
330	нового времени	2	6
331	не к	2	6
332	и после	2	6
333	жизнь в	3	6
334	как на	3	6
335	отношения к	2	6
336	но оно	2	6
337	в слове	2	6
338	его на	2	5
339	одна из	3	5
340	отношение к	11	5
341	и прежде	4	5
342	из всех	4	5
343	до того	2	5
344	и тот	4	5
345	лишь в	3	5
346	в наших	2	5
347	из самых	2	5
348	все что	4	5
349	образом и	2	5
350	тому как	2	5
351	что эта	2	5
352	за то	2	5
353	между тем	3	5
354	ведь это	3	5
355	мы видели	6	5
356	о нем	3	5
357	он говорит	6	5
358	том числе	4	5
359	там где	6	5
360	о его	2	5
361	здесь и	6	5
362	к этому	6	5
363	с этими	2	5
364	огонь и	2	5
365	хотя в	2	5
366	и еще	3	5
367	больше чем	3	5
368	в противоположность	2	5
369	себя в	2	5
370	в этот	2	5
371	в свете	3	5
372	мира в	2	5
373	одним из	2	5
374	они не	4	5
375	подобно тому	2	5
376	раз в	4	5
377	поэтому в	2	5
378	людей но	2	5
379	как его	2	5
380	на эту	2	4
381	в духе	11	4
382	начала и	8	4
383	следовательно и	2	4
384	и вы	4	4
385	отличие от	3	4
386	одно из	3	4
387	так например	2	4
388	в эту	7	4
389	в ту	8	4
390	числе и	3	4
391	со всем	2	4
392	под влиянием	2	4
393	ее не	2	4
394	и они	5	4
395	эту тему	3	4
396	дает нам	4	4
397	конечно и	3	4
398	или точнее	2	4
399	им в	2	4
400	он с	2	4
401	той же	9	4
402	момент в	2	4
403	начиная с	3	4
404	что из	2	4
405	и был	3	4
406	и за	3	4
407	на котором	2	4
408	в корне	3	4
