N	2gram	Voloshinov	Tragedij
1	и в	13	18
2	в этом	2	9
3	не только	6	8
4	и не	8	7
5	как бы	6	7
6	может быть	8	7
7	но в	4	6
8	и его	12	6
9	несмотря на	2	5
10	все же	5	5
11	то же	4	5
12	как и	3	5
13	так и	3	5
14	не может	8	5
15	что в	3	4
16	в целом	2	4
17	но и	3	4
18	прежде всего	9	4
19	том что	2	4
20	так же	2	4
21	и все	3	4
22	все это	4	4
23	в нем	2	4
24	то что	6	4
25	в себе	3	4
26	своего рода	2	3
27	уже в	2	3
28	при этом	2	3
29	в его	7	3
30	все эти	2	3
31	мог бы	2	3
32	как в	2	3
33	для него	2	3
34	никогда не	3	2
35	в самом	2	2
36	и то	3	2
37	данном случае	2	2
38	тем что	2	2
39	в одном	3	2
40	не имеет	2	2
41	в данном	2	2
42	в ее	3	2
43	вряд ли	3	2
44	к тому	2	2
45	а как	2	2
46	не в	3	2
47	и ее	2	2
48	в том	2	2
49	с г	2	2
50	не мог	2	2
51	еще в	2	2
