N	2gram	Berdyaev_N	UchenyiS
1	и в	16	14
2	не только	5	10
3	а не	17	10
4	и не	11	8
5	прежде всего	4	8
6	то что	4	7
7	не может	16	7
8	вот почему	2	7
9	в этом	7	7
10	может быть	7	6
11	перестает быть	4	5
12	хотя бы	2	5
13	все это	5	5
14	но и	3	4
15	что такое	3	4
16	с другой	3	4
17	в россии	3	4
18	конечно не	3	4
19	для этого	2	3
20	это не	4	3
21	в своей	3	3
22	как и	7	3
23	в то	2	3
24	но в	2	3
25	и формы	2	3
26	другой стороны	2	3
27	в себе	2	2
28	формы и	2	2
29	но не	2	2
30	и для	4	2
31	этом смысле	2	2
32	не есть	3	2
33	что она	2	2
34	и с	2	2
35	могут быть	2	2
36	это было	3	2
37	том что	2	2
38	все они	2	2
39	в том	8	2
40	что все	2	2
41	с его	6	2
42	должна быть	3	2
43	но это	6	2
44	по существу	2	2
45	не в	6	2
46	мы не	2	2
