N	3gram	Bakhtin_Fr	Istorich
1	с другой стороны	5	46
2	до сих пор	6	30
3	мы видим что	2	30
4	с одной стороны	4	28
5	в том что	2	25
6	не может быть	2	24
7	но все же	2	23
8	о том что	3	22
9	мы имеем в	2	19
10	не только в	3	19
11	в связи с	5	17
12	в данном случае	3	15
13	по отношению к	2	14
14	как мы видели	4	12
15	но и в	4	12
16	как и в	2	10
17	можно было бы	2	10
18	таким образом и	2	8
19	подобно тому как	2	8
20	во всяком случае	2	7
21	в большинстве случаев	3	7
22	смысле этого слова	2	7
23	и в других	3	6
24	на самом деле	5	5
25	для того чтобы	5	5
26	в том числе	4	5
27	до наших дней	5	5
28	в отличие от	3	5
29	это и есть	2	4
30	можно сказать что	2	4
31	с точки зрения	4	4
32	только то что	2	4
33	все то что	2	3
34	жизнью и смертью	3	3
35	мы уже говорили	5	3
36	дело в том	2	3
37	в связи со	2	3
38	говорит об этом	2	3
39	мы увидим дальше	3	3
40	руки и ноги	3	3
41	за то что	2	3
42	и тот же	3	3
43	одной стороны и	2	3
44	один и тот	3	3
45	по сравнению с	2	3
46	большей или меньшей	3	2
47	может быть и	2	2
48	как мы видим	2	2
49	с того света	2	2
50	шире и глубже	4	2
51	и прежде всего	3	2
52	не было ни	3	2
53	видит в нем	2	2
54	вовсе не в	2	2
55	может быть в	2	2
56	его связь с	3	2
57	в одном месте	2	2
58	в книге о	2	2
59	и той же	2	2
60	за него и	2	2
61	в других местах	3	2
62	том числе и	3	2
63	одной и той	2	2
64	в свою очередь	2	2
65	дело вовсе не	2	2
66	с полной ясностью	2	2
