N	2gram	Losev_Vlad	PoTuStor
1	может быть	12	17
2	и в	56	16
3	в этом	30	9
4	таким образом	6	9
5	прежде всего	5	9
6	и с	27	8
7	точки зрения	4	8
8	совершенно не	2	8
9	не может	12	8
10	и его	12	8
11	сказать что	14	7
12	не только	35	7
13	с его	15	7
14	и это	4	6
15	конечно не	5	6
16	я и	2	6
17	и к	10	6
18	для него	16	6
19	при этом	5	6
20	ни в	4	5
21	все эти	6	5
22	что такое	3	5
23	как бы	5	5
24	еще не	2	5
25	в чем	4	5
26	отношение к	7	5
27	как мы	17	4
28	и на	7	4
29	все это	7	4
30	его в	3	4
31	в его	18	4
32	но и	26	4
33	и не	33	4
34	и все	8	4
35	но в	19	4
36	в этой	4	4
37	но мы	3	4
38	и наконец	2	4
39	так как	11	4
40	все что	2	4
41	только в	11	4
42	в нем	7	4
43	хотя бы	5	4
44	с ними	2	4
45	можно сказать	10	4
46	так и	11	4
47	для всех	2	4
48	мысли и	5	4
49	отнюдь не	3	4
50	и даже	23	4
51	едва ли	3	3
52	что в	24	3
53	и притом	5	3
54	даже не	3	3
55	жизни и	8	3
56	и теперь	4	3
57	и как	7	3
58	и потому	8	3
59	тех же	3	3
60	а в	20	3
61	в том	26	3
62	их в	3	3
63	и вот	5	3
64	в общем	4	3
65	между ними	2	3
66	в области	3	3
67	те же	2	3
68	в основном	5	3
69	только на	3	3
70	и есть	2	3
71	во время	4	3
72	в этих	5	3
73	чем не	2	3
74	отношения к	4	3
75	как это	11	3
76	то что	30	3
77	во всех	4	3
78	всяком случае	8	3
79	вместе с	9	3
80	учение о	2	3
81	в одном	2	3
82	этом смысле	4	3
83	к себе	2	3
84	на этом	3	3
85	мы знаем	5	3
86	во всяком	8	3
87	том что	22	3
88	один из	4	2
89	никогда не	15	2
90	для нас	9	2
91	что мы	2	2
92	по своему	5	2
93	в них	5	2
94	в жизни	4	2
95	и действительно	3	2
96	кажется что	3	2
97	в каком	3	2
98	и вообще	12	2
99	и для	4	2
100	совсем не	7	2
101	что не	3	2
102	нам кажется	2	2
103	всей жизни	4	2
104	что это	2	2
105	и по	10	2
106	что и	6	2
107	не менее	9	2
108	на первый	4	2
109	нет никаких	2	2
110	во сне	2	2
111	и мы	6	2
112	было бы	7	2
113	не могут	2	2
114	не существовало	2	2
115	и других	2	2
116	о том	13	2
117	то же	10	2
118	с этим	3	2
119	как и	7	2
120	что он	22	2
121	так же	4	2
122	того же	11	2
123	в науке	3	2
124	в своей	7	2
125	мы не	2	2
126	это делает	3	2
127	из этих	5	2
128	но как	6	2
129	в самом	3	2
130	знаем что	2	2
131	в начале	7	2
132	с этой	4	2
133	в свое	6	2
134	в частности	4	2
135	что можно	4	2
136	некоторые моменты	2	2
137	он не	13	2
138	у него	28	2
139	своей жизни	5	2
140	всю жизнь	4	2
141	для меня	8	2
142	и о	6	2
143	не есть	4	2
144	за пределы	3	2
145	к этому	11	2
146	на этих	2	2
147	что на	2	2
148	нет и	2	2
149	и через	3	2
150	и так	3	2
151	в этот	5	2
152	почти не	2	2
153	мы уже	8	2
154	с ним	10	2
155	но это	6	2
156	но зато	2	2
