N	2gram	Vinokur_Vv	Dialekti
1	не есть	5	181
2	т е	40	159
3	и не	13	120
4	и т	45	82
5	по себе	11	79
6	а не	5	78
7	и в	35	77
8	т д	39	75
9	точки зрения	12	72
10	может быть	30	71
11	не только	26	66
12	то что	19	59
13	и есть	3	55
14	ничего не	2	54
15	не может	19	53
16	и даже	6	47
17	так как	15	46
18	с точки	4	46
19	что это	3	46
20	потому что	18	45
21	не просто	5	44
22	как бы	7	43
23	и что	6	42
24	не имеет	4	41
25	вовсе не	6	41
26	в том	38	40
27	что такое	12	39
28	в этом	35	39
29	то же	11	39
30	в себе	4	38
31	это есть	2	38
32	что она	3	38
33	том что	30	37
34	что он	5	37
35	прежде всего	10	37
36	это не	8	36
37	так что	5	36
38	она есть	5	35
39	что в	13	34
40	в нем	13	34
41	того что	12	33
42	но и	7	32
43	все это	6	31
44	ясно что	11	31
45	и как	9	30
46	сказать что	6	30
47	так и	2	29
48	было бы	7	29
49	как и	7	28
50	никогда не	3	27
51	крайней мере	4	26
52	по крайней	4	26
53	в виду	5	26
54	не в	10	26
55	есть и	5	26
56	сама по	3	26
57	есть только	2	25
58	есть не	5	25
59	и то	7	25
60	говорить о	5	25
61	учение о	2	25
62	если бы	3	24
63	но это	2	24
64	и вот	3	23
65	в то	6	23
66	что оно	2	23
67	таким образом	21	23
68	но что	3	22
69	что не	5	21
70	должна быть	2	21
71	в чем	4	21
72	в каком	3	20
73	только в	16	20
74	как раз	4	20
75	и вообще	3	20
76	что и	5	20
77	о том	16	20
78	уже не	6	20
79	и с	2	20
80	в своем	3	19
81	что мы	2	19
82	как это	5	19
83	не менее	9	19
84	и это	6	19
85	тогда когда	4	19
86	в самом	13	19
87	не существует	2	19
88	и его	6	19
89	иное как	6	18
90	не что	5	18
91	что иное	5	18
92	что же	3	18
93	с другой	8	18
94	хотя бы	6	18
95	же время	6	18
96	жизни и	2	18
97	но если	6	17
98	той или	3	17
99	в сущности	3	17
100	можно сказать	4	17
101	должно быть	2	17
102	в особенности	4	17
103	в своей	4	16
104	мы не	2	16
105	сам по	2	16
106	к нему	3	16
107	да и	4	16
108	одно и	2	16
109	то это	3	16
110	об этом	6	16
111	тем не	9	16
112	само по	4	16
113	быть и	2	15
114	только что	4	15
115	также и	20	15
116	все же	9	15
117	так же	3	15
118	в виде	4	15
119	самом деле	7	15
120	хотя и	5	15
121	на то	2	15
122	несмотря на	2	15
123	мы уже	2	15
124	или нет	2	14
125	и потому	2	14
126	и ее	4	14
127	ни с	2	14
128	даже и	4	14
129	же это	2	14
130	а именно	6	14
131	не было	2	14
132	в силу	3	13
