N	2gram	Trubetskoy	NovoeSre
1	а не	5	17
2	и в	26	16
3	не может	4	16
4	и не	8	11
5	в эпоху	7	9
6	что в	9	9
7	жизни и	2	8
8	в том	11	8
9	он не	4	8
10	может быть	10	7
11	в этом	15	7
12	культуры и	3	7
13	никогда не	5	6
14	лишь в	5	6
15	не в	2	6
16	от бога	2	6
17	с его	2	6
18	не только	10	5
19	все это	6	5
20	в нем	4	5
21	и к	5	5
22	по своему	2	4
23	в них	2	4
24	и для	5	4
25	не имеет	5	4
26	прежде всего	2	4
27	не менее	3	4
28	не было	2	4
29	и потому	6	4
30	перестает быть	2	4
31	то что	7	4
32	о том	6	4
33	потому что	7	4
34	и все	2	4
35	народные массы	2	4
36	в мире	5	3
37	но и	9	3
38	к жизни	5	3
39	с другой	8	3
40	к тому	6	3
41	в россии	2	3
42	еще не	2	3
43	волю к	2	3
44	к ним	3	3
45	конечно не	2	3
46	сказать что	2	3
47	во всех	2	3
48	бога и	4	3
49	с тем	18	3
50	в себе	6	2
51	к богу	3	2
52	и с	10	2
53	для этого	2	2
54	но не	8	2
55	что все	4	2
56	и от	4	2
57	в русском	2	2
58	того чтобы	5	2
59	и это	2	2
60	хотя бы	3	2
61	в новом	2	2
62	же как	3	2
63	а в	4	2
64	но в	7	2
65	том что	7	2
66	не к	2	2
67	можно назвать	2	2
68	и на	2	2
69	и что	4	2
70	ли это	2	2
71	все эти	6	2
72	в смысле	4	2
73	в религиозном	7	2
74	уже не	3	2
75	по существу	2	2
76	эпоху когда	2	2
77	так же	5	2
78	так и	6	2
79	силы и	2	2
80	одной стороны	7	2
81	в то	4	2
82	не могла	2	2
83	связана с	2	2
84	должно было	2	2
85	с одной	7	2
86	и даже	3	2
87	вместе с	15	2
