N	2gram	Trubetskoy	Otkroven
1	у него	5	22
2	и в	24	19
3	но и	11	13
4	и не	9	13
5	в этом	13	12
6	не только	10	11
7	не в	9	11
8	может быть	17	11
9	и все	9	10
10	в нем	3	10
11	вопрос о	3	10
12	никогда не	4	9
13	в самой	2	9
14	потому что	9	9
15	не было	2	9
16	прежде всего	3	9
17	лишь в	5	7
18	в его	5	7
19	от него	3	7
20	он не	4	7
21	как и	10	6
22	все это	13	6
23	для него	2	5
24	а в	3	5
25	в том	31	5
26	него в	2	5
27	в самом	8	5
28	то что	18	5
29	в этой	7	5
30	отношение к	4	5
31	и его	2	4
32	что в	9	4
33	того чтобы	8	4
34	все эти	19	4
35	на земле	3	4
36	не может	18	4
37	все в	2	4
38	в себе	5	3
39	и от	5	3
40	о том	7	3
41	это не	3	3
42	к нему	2	3
43	не могут	4	3
44	что он	7	3
45	было бы	3	3
46	для того	8	3
47	во имя	3	3
48	еще не	6	3
49	все что	10	3
50	в этих	3	3
51	в своих	2	3
52	и ее	2	3
53	только одно	3	3
54	никто не	2	3
55	как бы	10	3
56	хотя бы	4	3
57	более всего	2	3
58	с ним	6	3
59	того что	7	3
60	как к	5	2
61	одно из	3	2
62	и то	4	2
63	можно ли	2	2
64	и на	6	2
65	с тем	4	2
66	что же	2	2
67	и для	6	2
68	и там	2	2
69	что все	5	2
70	не имеет	2	2
71	и с	5	2
72	что и	7	2
73	и потому	3	2
74	в своем	12	2
75	но в	5	2
76	том что	20	2
77	что для	4	2
78	все же	15	2
79	ко всем	3	2
80	о которой	2	2
81	не очень	2	2
82	так как	7	2
83	что у	2	2
84	что они	2	2
85	в истории	3	2
86	так что	6	2
87	для всякого	2	2
88	должно быть	5	2
89	не есть	4	2
90	к этому	5	2
91	и к	5	2
92	так и	10	2
93	в которой	5	2
94	которую он	2	2
95	хотя и	4	2
96	и из	2	2
97	в другом	2	2
98	чем в	3	2
99	его в	5	2
