N	2gram	Savitsky_E	Myshleni
1	в том	11	195
2	в этом	12	167
3	то что	6	166
4	и в	37	162
5	том что	6	161
6	в развитии	2	151
7	таким образом	2	147
8	точки зрения	23	143
9	что в	21	119
10	не только	18	116
11	того что	7	109
12	в процессе	4	101
13	так же	9	100
14	потому что	3	95
15	того чтобы	6	91
16	может быть	6	89
17	с точки	17	89
18	не может	9	81
19	как и	7	79
20	так как	7	78
21	для того	6	78
22	и не	14	78
23	только в	9	75
24	как мы	5	72
25	но и	14	70
26	заключается в	2	67
27	в его	2	67
28	сказать что	4	65
29	как бы	6	64
30	вместе с	2	62
31	в качестве	14	60
32	и что	2	60
33	было бы	8	60
34	представляет собой	3	60
35	то же	15	58
36	в отношении	32	55
37	в силу	2	53
38	между собой	2	53
39	в самом	4	52
40	по сравнению	2	51
41	мы должны	2	50
42	к тому	8	49
43	мы можем	3	48
44	тем что	3	48
45	мы не	4	47
46	тогда когда	2	47
47	на основе	2	47
48	сравнению с	2	46
49	если бы	2	46
50	но не	5	45
51	с другой	7	45
52	тем самым	5	43
53	с тем	3	43
54	же как	5	43
55	как это	4	42
56	не является	3	41
57	по своей	2	40
58	одной стороны	8	40
59	о том	3	40
60	так и	10	39
61	никогда не	3	39
62	с одной	8	39
63	в области	11	38
64	мы видели	3	38
65	вопрос о	4	37
66	не в	5	37
67	в этой	2	37
68	и к	3	37
69	мы видим	2	37
70	в своем	14	36
71	как в	3	36
72	а не	2	36
73	того же	3	35
74	друг с	3	35
75	с другом	3	35
76	можно было	3	35
77	он не	2	35
78	в себе	9	35
79	и как	2	34
80	прежде всего	9	33
81	по себе	4	33
82	нас к	2	32
83	что и	3	32
84	именно в	4	32
85	по своему	7	32
86	но в	14	32
87	и тем	3	32
88	и на	6	32
89	и то	2	31
90	из того	2	31
91	этом отношении	3	30
92	на то	6	30
93	между тем	8	29
94	могут быть	2	29
95	с этим	2	28
96	что все	2	27
97	в своей	8	27
98	с этой	6	27
99	в результате	3	27
100	в то	16	27
101	другой стороны	2	27
102	и с	2	27
103	в их	11	26
104	в частности	5	26
105	что это	2	26
106	можно сказать	4	25
107	целый ряд	2	24
108	в какой	2	24
109	на этот	2	24
110	в смысле	9	24
111	в сфере	3	24
112	бы в	2	23
113	этот вопрос	2	23
114	в известном	3	22
115	во всяком	3	22
116	не могут	2	22
117	столь же	5	22
118	на основании	2	21
119	в истории	2	21
120	отношений между	2	21
121	и более	2	21
122	представление о	2	21
123	там где	3	21
124	и все	2	21
125	ее в	3	21
126	между ними	2	21
127	не имеет	4	21
128	в котором	2	20
129	и других	2	20
130	а в	2	20
131	из них	3	20
132	в данном	3	19
133	в той	5	19
134	как на	3	19
135	но если	5	19
136	и по	5	19
137	во всех	6	19
138	независимо от	4	19
139	во всей	2	18
140	приводит нас	2	18
141	чем в	4	18
142	в психологии	3	18
143	всяком случае	3	18
144	этом смысле	3	18
145	и для	3	17
146	в своих	2	17
147	в свою	3	17
148	и того	2	17
149	в одном	2	17
150	и от	3	17
151	этой точки	5	17
152	и только	3	17
153	не есть	2	17
154	в этих	2	17
155	вовсе не	6	16
156	которую мы	5	16
157	для нас	4	16
158	такой же	2	16
159	то в	4	16
160	и даже	6	16
161	в которых	3	16
162	данном случае	2	15
163	известном смысле	3	15
164	тем более	4	15
165	когда он	3	15
166	но как	2	15
167	на всем	4	15
168	что если	2	15
169	от этого	5	15
170	хотя бы	15	15
171	вообще не	3	15
172	в них	3	15
173	друг от	2	14
174	точка зрения	2	14
175	и во	2	14
176	что эти	2	14
177	это значит	2	14
178	очевидно что	3	14
179	одной из	5	14
180	от друга	2	14
181	свою очередь	2	14
182	к которым	5	14
183	не можем	2	14
184	все более	9	13
185	она не	2	13
186	в виде	5	13
187	имеет место	2	13
188	отнюдь не	9	13
189	если в	2	13
190	стороны и	6	13
191	с другими	2	13
192	но на	3	13
193	и потому	5	12
194	в ее	8	12
195	даже в	4	12
196	несмотря на	4	12
197	в ней	4	12
198	только к	2	12
