N	3gram	Bakhtin_fo	slovoVRo
1	и т п	18	72
2	не может быть	4	19
3	в то же	10	18
4	то же время	13	18
5	той или иной	3	15
6	с точки зрения	9	15
7	в отличие от	3	14
8	в той или	2	13
9	в большинстве случаев	2	11
10	с одной стороны	3	11
11	и т д	3	10
12	но в то	2	7
13	и в особенности	5	7
14	в нем в	2	6
15	и в то	7	6
16	но все же	3	6
17	в том что	4	5
18	в этом отношении	5	5
19	не только в	6	5
20	может быть и	4	5
21	как мы уже	11	5
22	на античной почве	6	5
23	по отношению к	3	5
24	можно прямо сказать	2	4
25	для романного жанра	2	4
26	одной стороны и	2	4
27	на первый план	2	4
28	для того чтобы	11	4
29	друг с другом	5	4
30	в точном смысле	3	4
31	мы уже сказали	4	4
32	а также и	3	4
33	до сих пор	4	4
34	и в сущности	3	4
35	одно и то	4	3
36	в широком смысле	3	3
37	прямо сказать что	2	3
38	типы и разновидности	2	3
39	и то же	4	3
40	в романе не	2	3
41	как и в	3	3
42	человека и его	8	3
43	со всех сторон	2	3
44	между этими двумя	3	3
45	может быть только	3	3
46	в данном случае	2	3
47	в связи с	12	3
48	почти вовсе не	2	3
49	как если бы	2	3
50	и в частности	2	2
51	в этих романах	2	2
52	на фоне которого	2	2
53	во всех этих	2	2
54	же как и	2	2
55	существенную роль в	3	2
56	ни в чем	3	2
57	в рыцарском романе	4	2
58	в нем не	3	2
59	а следовательно и	3	2
60	в их целом	2	2
61	мы уже говорили	6	2
62	о том что	2	2
63	и не только	2	2
64	на протяжении всего	2	2
65	в средние века	4	2
66	в то время	3	2
67	с самого начала	3	2
68	не для того	3	2
69	и во всех	3	2
70	в последующем развитии	2	2
71	но и в	5	2
72	в чем не	3	2
73	то время как	2	2
74	и в этом	2	2
75	но в этом	2	2
76	то есть не	3	2
77	в истории романа	3	2
78	в мировой литературе	2	2
79	последующей истории романа	4	2
80	но по существу	2	2
81	шута и дурака	6	2
