N	3gram	Bakhtin_Pr	slovoVRo
1	не может быть	8	19
2	в то же	10	18
3	то же время	10	18
4	той или иной	3	15
5	с точки зрения	21	15
6	и его слово	2	15
7	в отличие от	3	14
8	или иной степени	2	13
9	в той или	2	13
10	в большинстве случаев	3	11
11	во всяком случае	3	8
12	в зависимости от	5	8
13	но в то	5	7
14	зрения на мир	7	7
15	в одной плоскости	7	6
16	как мы сказали	2	6
17	с другой стороны	3	6
18	и в то	3	6
19	но все же	3	6
20	в том что	10	5
21	в этом отношении	7	5
22	не только в	2	5
23	хотя бы и	3	5
24	как мы уже	2	5
25	по отношению к	17	5
26	точки зрения на	2	4
27	в лучшем случае	3	4
28	точка зрения на	2	4
29	для того чтобы	3	4
30	в его романах	5	4
31	друг о друге	2	4
32	друг с другом	4	4
33	таким образом в	2	4
34	и не может	3	4
35	до сих пор	3	4
36	можно сказать что	3	4
37	и в сущности	2	4
38	как мы видели	3	3
39	одной плоскости с	4	3
40	по ту сторону	2	3
41	человека и его	2	3
42	с авторским словом	3	3
43	может быть только	3	3
44	в данном случае	3	3
45	героя и его	3	3
46	выходит за пределы	2	3
47	сама по себе	3	3
48	лишь одним из	2	3
49	и в романе	3	2
50	а не только	2	2
51	а не как	4	2
52	между тем как	4	2
53	же как и	3	2
54	с ним и	3	2
55	значит конечно что	3	2
56	мы уже говорили	2	2
57	нужно сказать что	2	2
58	о том что	5	2
59	там где она	2	2
60	что он есть	3	2
61	можно было бы	4	2
62	это не значит	3	2
63	на протяжении всего	2	2
64	даже там где	2	2
65	в предшествующей главе	3	2
66	в их основе	2	2
67	в то время	3	2
68	с самого начала	3	2
69	и в том	2	2
70	в том и	2	2
71	этой точки зрения	3	2
72	то время как	2	2
73	и в этом	8	2
74	то есть не	3	2
75	не значит конечно	3	2
76	мир и на	3	2
