N	3gram	Bakhtin_fo	Hudozhes
1	по отношению к	3	10
2	в том что	4	8
3	в то же	10	7
4	в отличие от	3	7
5	то же время	13	7
6	для того чтобы	11	5
7	той или иной	3	5
8	не может быть	4	4
9	мы имеем в	2	3
10	одно и то	4	3
11	и то же	4	3
12	с точки зрения	9	3
13	с одной стороны	3	3
14	в том числе	7	3
15	в связи с	12	3
16	и того же	6	3
17	одного и того	6	3
18	имеем в виду	3	3
19	и прежде всего	4	2
20	в этом мире	7	2
21	и в то	7	2
22	но он не	2	2
23	том числе и	4	2
24	может быть и	4	2
25	не могло быть	3	2
26	в той или	2	2
