N	2gram	Nazirov_Tr	EvropaiE
1	и в	18	37
2	что в	4	21
3	не только	8	18
4	в то	5	16
5	то же	5	15
6	в своем	3	14
7	но в	6	14
8	но и	4	14
9	и не	7	14
10	же время	6	14
11	в этом	9	12
12	в том	2	11
13	так и	5	10
14	так же	4	9
15	не может	5	9
16	отнюдь не	3	9
17	в себе	4	9
18	прежде всего	4	9
19	в ее	2	8
20	к тому	2	8
21	как и	5	7
22	том что	4	6
23	то есть	3	6
24	и даже	4	6
25	может быть	7	6
26	и на	7	6
27	то что	4	6
28	как бы	7	6
29	тем самым	3	5
30	столь же	2	5
31	не в	2	5
32	в виде	2	5
33	в частности	2	5
34	вопрос о	2	4
35	не имеет	2	4
36	в самом	2	4
37	несмотря на	5	4
38	на всем	2	4
39	как это	3	4
40	никогда не	2	3
41	с тем	2	3
42	о том	2	3
43	в данном	2	3
44	бы и	2	3
45	что и	2	3
46	тем что	2	3
47	говорит о	2	3
48	потому что	2	3
49	в таком	2	3
50	как в	3	3
51	в известной	2	3
52	данном случае	2	2
53	в мире	3	2
54	в его	3	2
55	что это	5	2
56	и то	2	2
57	к нему	3	2
58	не могут	2	2
59	как же	2	2
60	только к	2	2
61	и с	7	2
62	что все	2	2
63	в одном	2	2
64	и как	3	2
65	мог бы	3	2
66	и что	4	2
67	имеет в	2	2
68	одном из	2	2
69	и все	4	2
70	он не	2	2
71	как будто	3	2
72	что эти	2	2
73	в этой	4	2
74	он сам	7	2
