N	3gram	Tiupa_Disk	Marksizm
1	с точки зрения	3	46
2	не может быть	5	25
3	в то же	7	15
4	по отношению к	13	15
5	то же время	9	15
6	в том что	18	14
7	и не может	3	12
8	с самого начала	2	10
9	в отличие от	12	10
10	одного и того	4	9
11	в большинстве случаев	2	9
12	и того же	4	9
13	то же самое	2	8
14	с другой стороны	4	7
15	в свою очередь	3	7
16	во всяком случае	2	6
17	с одной стороны	12	6
18	чужой речи и	2	5
19	той или иной	6	5
20	и как бы	5	5
21	в этом отношении	4	5
22	в этом случае	3	5
23	и прежде всего	2	4
24	можно сказать что	3	4
25	о том что	8	4
26	но при этом	3	3
27	и то же	2	3
28	более или менее	2	3
29	в том числе	3	3
30	а не в	2	3
31	одно и то	2	3
32	одной стороны и	3	3
33	не только в	2	3
34	в науке о	2	3
35	том числе и	3	3
36	в значительной степени	3	3
37	по крайней мере	3	2
38	а не только	2	2
39	до известной степени	2	2
40	прежде всего в	2	2
41	так и в	4	2
42	в данном случае	6	2
43	как и в	3	2
44	и в особенности	2	2
45	сами по себе	2	2
46	к тому же	4	2
47	лицом к лицу	2	2
48	речевого общения в	2	2
49	тот или иной	2	2
50	того или иного	2	2
