N	3gram	Tiupa_Lite	Myslijsy
1	в том что	15	47
2	по отношению к	4	26
3	не может быть	5	19
4	тем не менее	4	18
5	по крайней мере	2	17
6	в свою очередь	2	14
7	то же время	12	13
8	в то же	12	13
9	во всяком случае	2	12
10	с другой стороны	5	12
11	только в том	2	12
12	и т п	2	11
13	подобно тому как	4	11
14	с одной стороны	8	10
15	о том что	3	9
16	до тех пор	2	9
17	в этом случае	2	8
18	не только в	4	7
19	с точки зрения	4	7
20	в сравнении с	2	5
21	и то что	2	5
22	в данном случае	6	4
23	в том же	3	4
24	с этой точки	3	4
25	в этом отношении	5	4
26	дело в том	2	4
27	из того что	2	3
28	тех пор пока	2	3
29	этой точки зрения	3	3
30	говоря уже о	2	3
31	ничего общего с	2	3
32	можно было бы	2	3
33	не говоря уже	3	3
34	и тем самым	2	3
35	в связи с	4	3
36	так или иначе	8	3
37	но с другой	3	3
38	но при этом	2	2
39	только то что	2	2
40	тем что в	2	2
41	в первый раз	2	2
42	состоит в том	8	2
43	при этом в	3	2
44	мы имеем дело	2	2
