N	2gram	Losev_Prob	Istorich
1	и в	64	181
2	и т	13	160
3	т д	12	142
4	т е	2	133
5	может быть	29	115
6	не только	37	114
7	что он	11	111
8	мы имеем	3	102
9	что в	21	90
10	но и	23	85
11	в этом	30	81
12	так как	16	75
13	то что	72	73
14	таким образом	9	72
15	вместе с	4	71
16	и не	63	67
17	все же	7	65
18	мы видим	2	65
19	в этих	7	64
20	еще не	18	63
21	не может	18	61
22	этих случаях	4	60
23	так же	12	57
24	то же	10	56
25	никогда не	8	56
26	в том	19	53
27	том что	26	53
28	с другой	8	52
29	а в	7	52
30	потому что	24	52
31	что и	2	51
32	и что	21	51
33	и здесь	8	51
34	о том	25	48
35	а не	21	48
36	его в	9	47
37	не в	6	47
38	другой стороны	7	46
39	мы должны	5	44
40	но в	19	44
41	и пр	4	44
42	это не	7	43
43	и его	3	43
44	в нем	14	42
45	только в	19	42
46	как в	5	42
47	представление о	6	41
48	или в	5	39
49	в его	12	38
50	для нас	11	38
51	тем что	10	38
52	и на	11	38
53	что здесь	4	37
54	так и	17	37
55	он не	5	37
56	уже не	9	37
57	как и	7	37
58	мы уже	8	37
59	мы можем	8	36
60	мы увидим	3	36
61	знаем что	2	36
62	с тем	6	35
63	что они	5	35
64	все эти	15	35
65	мы не	6	35
66	что это	4	34
67	но не	13	34
68	а именно	16	34
69	связи с	8	34
70	же как	2	33
71	об этом	10	33
72	сих пор	6	32
73	в качестве	3	32
74	представляет собой	2	31
75	ничего не	20	31
76	прежде всего	17	31
77	один из	7	31
78	то это	3	31
79	при помощи	21	30
80	с этим	7	30
81	до сих	6	30
82	с одной	4	30
83	к нему	5	30
84	но все	5	29
85	как мы	10	29
86	одной стороны	4	29
87	этом случае	6	29
88	но это	11	29
89	например в	2	28
90	что она	8	28
91	и с	12	28
92	как он	4	27
93	так что	12	27
94	того что	18	27
95	могут быть	2	27
96	мы здесь	4	26
97	как это	7	26
98	и др	2	26
99	вопрос о	4	25
100	в дальнейшем	5	25
101	было бы	16	24
102	если бы	8	24
103	в виде	20	24
