N	2gram	Savitsky_E	Morfolog
1	может быть	6	61
2	таким образом	2	26
3	т е	9	25
4	могут быть	2	21
5	так как	7	20
6	не может	9	19
7	в этом	12	18
8	в этих	2	17
9	представляет собой	3	17
10	и в	37	17
11	и не	14	16
12	мы видим	2	15
13	с этим	2	14
14	прежде всего	9	14
15	при помощи	2	12
16	а не	2	11
17	заметить что	2	11
18	вопрос о	4	10
19	но если	5	10
20	то же	15	10
21	в том	11	10
22	то что	6	10
23	так и	10	10
24	что в	21	10
25	что и	3	10
26	но и	14	9
27	с другой	7	9
28	не только	18	8
29	в результате	3	8
30	но не	5	8
31	а в	2	8
32	мы не	4	8
33	в качестве	14	8
34	как мы	5	8
35	не могут	2	7
36	том что	6	7
37	если в	2	7
38	наряду с	2	7
39	как это	4	7
40	а также	7	7
41	точки зрения	23	7
42	во втором	2	7
43	потому что	3	7
44	во всех	6	6
45	и как	2	6
46	или в	2	6
47	также и	7	6
48	о том	3	6
49	с точки	17	6
50	как бы	6	6
51	вовсе не	6	6
52	вслед за	6	5
53	хотя бы	15	5
54	мы можем	3	5
55	было бы	8	5
56	со стороны	5	5
57	как в	3	5
58	далеко не	2	5
59	к тому	8	5
60	между тем	8	5
61	главным образом	2	5
62	другой стороны	2	5
63	между собой	2	5
64	там где	3	5
65	в других	2	5
66	он не	2	5
67	хотя и	2	5
68	сказать что	4	4
69	независимо от	4	4
70	так же	9	4
71	в то	16	4
72	можно было	3	4
73	тем что	3	4
74	не является	3	4
75	из них	3	4
76	но в	14	4
77	и для	3	4
78	как и	7	4
79	этот вопрос	2	4
80	и к	3	4
81	несмотря на	4	4
82	того чтобы	6	4
83	в некоторых	2	4
84	как же	2	3
85	то в	4	3
86	утверждать что	2	3
87	мы должны	2	3
88	но как	2	3
89	то ни	4	3
90	что это	2	3
91	целый ряд	2	3
92	если бы	2	3
93	в виде	5	3
94	и тем	3	3
95	не в	5	3
96	для того	6	3
97	с этой	6	3
98	к ней	4	3
99	в пределах	25	3
100	в какой	2	3
101	того что	7	3
102	ее в	3	3
103	к нему	2	3
104	на то	6	3
105	в большинстве	2	3
106	большинстве случаев	3	3
107	и что	2	3
108	и по	5	3
109	же в	2	3
110	только в	9	3
111	и только	3	3
112	что эти	2	3
113	в этой	2	3
114	бы то	4	3
115	данном случае	2	2
116	в каком	4	2
117	в россии	5	2
118	в данном	3	2
119	одной стороны	8	2
120	бы в	2	2
121	во второй	3	2
122	также в	2	2
123	и даже	6	2
124	и таким	2	2
125	в данной	3	2
126	этом отношении	3	2
127	не на	4	2
128	в частности	5	2
129	ни было	4	2
130	относятся к	2	2
131	не означает	2	2
132	с одной	8	2
133	например с	2	2
134	должна быть	2	2
135	и более	2	2
136	вопрос не	2	2
137	одной из	5	2
138	на этот	2	2
139	с тем	3	2
140	и этот	2	2
141	как их	2	2
142	не имеет	4	2
143	вообще не	3	2
144	она не	2	2
145	или по	2	2
146	с большой	2	2
147	но с	2	2
148	в своих	2	2
149	в которых	3	2
150	это так	3	2
151	с другими	2	2
152	для нас	4	2
153	что же	2	2
154	всяком случае	3	2
155	она в	3	2
156	как будто	2	2
157	случаях когда	2	2
158	можно сказать	4	2
159	в одном	2	2
160	во всяком	3	2
161	по своему	7	2
162	чем в	4	2
