N	2gram	Ircho_Kome	EvropaiC
1	таким образом	16	34
2	в том	24	31
3	и в	37	24
4	том что	22	20
5	не может	9	18
6	то что	5	18
7	может быть	14	17
8	до сих	12	15
9	все же	9	15
10	сих пор	12	15
11	точки зрения	8	14
12	в этом	18	13
13	все это	7	13
14	в своем	9	12
15	с этим	5	12
16	самом деле	13	12
17	между тем	6	12
18	по отношению	6	11
19	но и	18	11
20	отношению к	4	11
21	не только	13	10
22	так и	4	10
23	во всех	4	10
24	мы знаем	2	10
25	как и	10	10
26	все что	6	10
27	как бы	7	10
28	из себя	3	10
29	в результате	2	9
30	друг с	3	9
31	и не	28	9
32	не в	7	9
33	что в	11	9
34	и все	6	9
35	на то	3	9
36	с другом	3	9
37	того же	9	9
38	потому что	19	9
39	при этом	11	9
40	и что	8	9
41	так же	8	8
42	из этих	2	8
43	или менее	2	8
44	если бы	18	8
45	для того	9	8
46	идет речь	2	8
47	к тому	11	8
48	более или	2	8
49	в самом	17	8
50	того чтобы	9	8
51	с точки	6	8
52	ясно что	12	8
53	для этого	3	7
54	так как	16	7
55	в силу	2	7
56	по своей	2	7
57	что он	15	7
58	не менее	9	7
59	о том	21	7
60	из этого	2	7
61	что и	12	7
62	в этой	7	7
63	по существу	4	7
64	вместе с	16	7
65	в мире	2	6
66	только в	3	6
67	еще не	10	6
68	так что	7	6
69	что касается	5	6
70	в то	14	6
71	должна быть	2	6
72	и для	7	6
73	с другой	5	6
74	и если	3	6
75	и на	6	6
76	мы можем	7	6
77	несмотря на	7	6
78	что с	4	6
79	тому же	11	6
80	с ним	10	6
81	и от	3	5
82	его в	9	5
83	но все	5	5
84	по сравнению	3	5
85	в себе	4	5
86	к этому	11	5
87	в которой	6	5
88	как к	3	5
89	ничем не	4	5
90	из них	11	5
91	из всех	3	5
92	так или	3	5
93	по своему	3	5
94	у него	10	5
95	далеко не	3	5
96	но в	7	5
97	столь же	5	5
98	или иначе	3	5
99	и без	2	5
100	и с	5	5
101	и к	4	5
102	другой стороны	2	5
103	пор не	3	5
104	в целом	4	5
105	не будет	2	5
106	между двумя	2	5
107	в его	12	5
108	как будто	3	5
109	сравнению с	3	5
110	никогда не	5	4
111	не могут	2	4
112	из того	3	4
113	что эта	2	4
114	хотя бы	5	4
115	то ни	4	4
116	тем не	3	4
117	в конце	14	4
118	отношение к	7	4
119	и у	4	4
120	целый ряд	5	4
121	конце концов	3	4
122	то же	14	4
123	в их	5	4
124	том же	2	4
125	в области	3	4
126	а с	2	4
127	одним из	2	4
128	совершенно не	2	4
129	что его	10	4
130	в течение	3	4
131	между собой	5	4
132	что для	7	4
133	с тем	6	4
134	не так	4	4
135	этом случае	2	4
136	на вопрос	5	4
137	из которых	7	4
138	что мы	4	4
139	связи с	5	4
140	в таком	2	4
141	он не	11	4
142	если мы	2	4
143	в дальнейшем	5	4
144	признать что	5	4
145	хотя и	6	4
146	даже в	3	3
147	представление о	2	3
148	вопрос о	2	3
149	что их	4	3
150	это не	3	3
151	и потому	2	3
152	что по	2	3
153	и до	2	3
154	от него	2	3
155	на земле	2	3
156	в начале	5	3
157	тем более	9	3
158	в тех	4	3
159	бы в	5	3
160	ни было	3	3
161	от того	2	3
162	даже если	2	3
163	только что	11	3
164	с этой	5	3
165	в этих	2	3
166	является ли	3	3
167	конечно не	4	3
168	в связи	4	3
169	не надо	2	3
170	прежде всего	7	3
171	отличие от	5	3
172	с одной	5	3
173	образом в	2	3
174	одно из	3	3
175	но не	9	3
176	и это	4	3
177	а в	12	3
178	бы то	3	3
179	может служить	2	3
180	в нем	8	3
181	в ней	7	3
182	для нас	7	3
183	же не	3	3
184	ближе к	3	3
185	было бы	7	3
186	и по	3	3
187	и может	2	3
188	таким же	2	3
189	в истории	2	3
190	в с	2	3
191	во всем	2	3
192	если же	2	3
193	тот же	11	3
194	как мы	6	3
195	еще больше	4	3
196	чем в	5	3
197	образом и	2	2
198	конечно в	2	2
199	меньше чем	2	2
200	тех же	3	2
201	независимо от	4	2
202	из этой	2	2
203	к ним	5	2
204	и ее	3	2
205	то время	3	2
206	и поэтому	5	2
207	что она	10	2
208	высшей степени	2	2
209	в другом	2	2
210	свою очередь	10	2
211	но если	3	2
212	до тех	5	2
213	на него	6	2
214	ему и	3	2
215	друг друга	7	2
216	должен быть	2	2
217	как не	2	2
218	этих двух	2	2
219	в виду	3	2
220	не было	6	2
221	не без	2	2
222	из двух	3	2
223	в частности	4	2
224	по его	2	2
225	него в	3	2
226	при виде	3	2
227	что они	3	2
228	на долю	4	2
229	от себя	2	2
230	такой же	2	2
231	тем как	2	2
232	или вовсе	2	2
233	а для	2	2
234	с уже	2	2
235	никто не	2	2
236	не знает	7	2
237	в высшей	2	2
238	в глазах	10	2
239	именно потому	2	2
240	наконец не	2	2
241	от них	2	2
242	том чтобы	4	2
243	на месте	3	2
244	не имеет	6	2
245	общего с	2	2
246	это обстоятельство	3	2
247	что у	2	2
248	тому что	5	2
249	к нему	8	2
250	она не	3	2
251	следует что	3	2
252	в ту	2	2
253	они не	2	2
254	в котором	6	2
255	тех пор	5	2
256	их в	3	2
257	со временем	5	2
258	на себе	2	2
259	все его	2	2
260	и там	3	2
261	во втором	2	2
262	в своих	4	2
263	к своим	2	2
264	в свою	12	2
265	этот вопрос	2	2
266	в которых	7	2
267	одной стороны	4	2
268	на этом	3	2
269	между ними	4	2
270	отнюдь не	5	2
271	если он	3	2
272	по этому	3	2
273	в них	6	2
274	представить себе	2	2
275	со своей	2	2
276	что же	2	2
277	всяком случае	3	2
278	а затем	4	2
279	от своей	2	2
280	от нее	5	2
281	во всяком	3	2
282	и дальше	2	2
283	говорить о	6	2
284	себя и	2	2
285	и особенно	2	2
286	и его	10	2
287	в сущности	3	2
288	же время	12	2
289	и сам	11	2
290	которой мы	2	2
291	не следует	2	2
292	войдя в	2	2
293	о которой	2	2
294	которую он	3	2
295	только один	2	2
296	той же	2	2
297	я не	4	2
298	вовсе не	6	2
299	в основе	3	2
300	тем же	3	2
