N	3gram	Tiupa_Anal	Morfolog
1	в этом случае	4	10
2	не может быть	17	9
3	в связи с	2	9
4	по отношению к	9	7
5	с точки зрения	6	6
6	тем не менее	3	6
7	подобно тому как	5	5
8	с другой стороны	2	5
9	в том что	13	4
10	к тому что	2	4
11	не могут быть	2	4
12	о том что	8	3
13	бы то ни	3	3
14	состоит в том	6	3
15	как и в	2	3
16	для того чтобы	3	3
17	в первом случае	2	3
18	на то что	2	3
19	дело не в	2	2
20	то ни было	3	2
21	не что иное	5	2
22	в данном случае	3	2
23	что иное как	6	2
24	более или менее	2	2
25	в этом отношении	5	2
26	в обоих случаях	2	2
27	с одной стороны	6	2
