N	3gram	Vinokur_Vv	Stilisti
1	в то же	6	9
2	то же время	6	7
3	для того чтобы	22	7
4	в зависимости от	3	7
5	и то же	2	5
6	с точки зрения	4	5
7	одно и то	2	5
8	то же самое	3	4
9	одной и той	2	4
10	той или иной	3	4
11	и той же	2	4
12	в свою очередь	2	4
13	в этом случае	6	3
14	в конце концов	2	3
15	как мы уже	2	3
16	не только в	4	3
17	но все же	4	3
18	как мы видели	3	3
19	тех или иных	3	3
20	вместе с тем	3	2
21	в связи с	2	2
22	что иное как	5	2
23	в самом деле	6	2
24	в этом отношении	4	2
25	можно сказать что	3	2
26	есть не что	3	2
27	по отношению к	4	2
28	смысле этого слова	2	2
29	но в то	3	2
30	о том что	13	2
31	не что иное	5	2
32	не может быть	10	2
