N	3gram	Losev_Vlad	DiskursI
1	в том что	13	28
2	не может быть	4	12
3	то же время	7	10
4	о том что	9	9
5	в то же	7	8
6	в этом отношении	2	8
7	и все же	2	7
8	к тому же	3	6
9	что же касается	8	5
10	не только в	3	5
11	с другой стороны	3	5
12	дело в том	7	5
13	в свою очередь	2	5
14	в свое время	6	4
15	тем не менее	8	4
16	не в том	3	4
17	можно сказать что	3	4
18	и в частности	3	3
19	более или менее	5	3
20	при этом в	2	3
21	том что в	3	3
22	говоря уже о	3	3
23	также и в	2	3
24	во всяком случае	8	3
25	не говоря уже	3	3
26	бы то ни	2	2
27	потому что в	2	2
28	а также и	2	2
29	так и не	3	2
30	для своего времени	2	2
31	и в том	2	2
32	и в то	3	2
33	а в том	3	2
34	и то что	7	2
35	в том чтобы	4	2
