N	2gram	Voloshinov	Problemy
1	и в	12	106
2	и не	10	90
3	как бы	13	70
4	может быть	14	66
5	в его	2	56
6	в этом	4	52
7	в нем	6	51
8	не может	16	49
9	как и	5	44
10	но и	3	40
11	точки зрения	14	40
12	для него	3	39
13	и его	13	39
14	а не	5	38
15	не только	4	36
16	то же	5	36
17	в пределах	3	35
18	то что	5	33
19	но в	5	33
20	прежде всего	8	32
21	в то	2	29
22	все это	3	29
23	он не	2	29
24	и все	2	28
25	не в	4	27
26	к нему	4	25
27	с точки	2	25
28	в самом	4	25
29	и с	3	25
30	самом деле	3	24
31	героя и	5	24
32	слова и	6	23
33	и на	4	23
34	таким образом	12	22
35	по себе	3	22
36	там где	2	21
37	никогда не	5	20
38	все же	4	20
39	только в	6	20
40	что в	2	19
41	с его	2	19
42	отношению к	11	19
43	на самом	4	18
44	в себе	3	18
45	по отношению	11	18
46	все эти	3	18
47	уже не	4	18
48	еще не	3	18
49	но не	2	18
50	это не	2	17
51	в том	6	17
52	так и	4	17
53	и к	4	17
54	с ним	3	17
55	так же	3	16
56	если бы	9	16
57	в своей	3	16
58	до конца	2	15
59	и наконец	3	15
60	и для	3	15
61	в отношении	2	14
62	так как	9	14
63	в своем	2	14
64	его в	4	13
65	себя и	2	13
66	с другими	2	13
67	на него	2	13
68	но все	2	13
69	точка зрения	3	13
70	том что	5	12
71	слово в	3	12
72	ничего не	2	12
73	между тем	3	12
74	что и	2	12
75	при этом	6	12
76	но это	2	12
77	за пределы	4	12
78	и слово	2	12
79	как в	5	12
80	отношении к	3	12
81	в котором	3	12
82	и что	2	12
83	в форме	2	11
84	сливается с	2	11
85	она не	2	11
86	с другой	4	11
87	более того	2	11
88	отношение к	4	10
89	что не	4	10
90	ведь и	3	10
91	как не	2	10
92	до сих	3	10
93	сих пор	3	10
94	в творчестве	3	10
95	и потому	2	9
96	могут быть	2	9
97	в них	3	9
98	да и	3	9
99	другой стороны	2	9
100	хотя бы	5	9
101	точек зрения	3	9
102	ни в	3	9
103	уже в	2	8
104	как к	3	8
105	того что	3	8
106	здесь не	3	8
107	к герою	3	8
108	должна быть	5	8
109	все время	6	8
110	ни было	4	8
111	о том	3	8
112	и так	2	8
113	его к	2	7
114	и следовательно	5	7
115	в этих	2	7
116	точку зрения	2	7
117	в виду	5	7
118	и др	5	7
119	тем как	2	7
120	в процессе	6	7
121	только на	3	7
122	между ними	2	7
123	то ни	3	7
124	и ее	3	7
125	бы то	3	7
126	сказать что	7	7
127	в жизни	5	7
128	такой же	2	7
129	автора и	2	7
130	если же	2	7
131	в себя	2	7
132	может стать	2	6
133	выражение в	2	6
134	не менее	3	6
135	в художественном	3	6
136	и здесь	2	6
137	но зато	2	6
138	как же	2	6
139	словом и	2	6
140	зависимости от	4	6
141	и самое	2	6
142	кроме того	2	6
143	внутренней речи	3	6
144	но для	3	6
145	и пр	3	6
146	жизни и	4	6
147	конечно не	3	6
148	как на	2	6
149	и то	2	5
150	для других	2	5
151	слова но	2	5
152	была бы	2	5
153	в чем	2	5
154	в такой	3	5
155	в зависимости	2	5
156	мы не	3	5
157	те же	2	5
158	его как	2	5
159	на материале	2	5
160	героев и	2	5
161	ни на	2	5
162	тому же	2	5
163	когда он	3	5
164	быть и	3	5
165	в ней	6	5
166	художественного творчества	3	5
167	вместе с	2	5
168	тем не	3	4
169	стороны и	2	4
170	конечно в	2	4
171	от того	4	4
172	он должен	3	4
173	это как	3	4
174	в формах	2	4
175	к слову	2	4
176	одно и	2	4
177	совпадает с	2	4
178	в литературе	4	4
179	но этот	2	4
180	как если	4	4
181	бы не	2	4
182	с этой	2	4
183	оно не	2	4
184	не есть	2	4
185	перестает быть	2	4
186	со словом	2	4
187	данном случае	2	3
188	в настоящее	2	3
189	не способен	2	3
190	в основном	2	3
191	художественную форму	6	3
192	настоящее время	2	3
193	является для	2	3
194	с героем	3	3
195	и та	2	3
196	между собой	2	3
197	нуждается в	3	3
198	и герой	3	3
199	и по	3	3
200	можно сказать	5	3
201	и вообще	3	3
202	не довлеет	2	3
203	в данном	2	3
204	а к	2	3
205	дело в	4	3
206	и уже	3	3
207	но конечно	2	3
208	все они	2	3
209	мы можем	2	3
210	но что	2	3
211	не должна	3	3
212	высказывания и	2	3
213	они ни	2	3
214	от этой	2	3
215	этой точки	3	2
216	можем сказать	2	2
217	к этому	2	2
218	социальной жизни	2	2
219	бы оно	2	2
220	в интонации	6	2
221	тогда когда	2	2
222	самое слово	2	2
223	в особенности	2	2
224	не так	2	2
225	в душе	2	2
226	в поэзии	3	2
227	слово это	2	2
228	по природе	2	2
229	находит свое	3	2
230	этих двух	2	2
231	отнюдь не	5	2
232	и совершенно	2	2
233	идеологического творчества	2	2
234	делает его	2	2
235	известной степени	2	2
236	в корне	2	2
237	со всех	2	2
238	оценок и	2	2
239	к его	2	2
240	или не	3	2
241	можно найти	2	2
242	независимо от	2	2
243	художественного произведения	7	2
244	речи в	2	2
245	и вполне	2	2
246	и другие	2	2
247	в условиях	2	2
248	для нас	7	2
249	с одной	2	2
250	в какой	2	2
251	оценки которые	3	2
252	я ты	2	2
253	но тем	2	2
254	и является	4	2
255	социальной группы	3	2
256	от всех	2	2
257	не к	3	2
258	в нашем	11	2
259	социальных оценок	3	2
260	свое своеобразие	2	2
261	произведения и	3	2
262	из этого	3	2
263	из него	2	2
264	выражение и	2	2
265	же самое	2	2
266	с помощью	6	2
