N	2gram	Tiupa_Narr	Dialekti
1	и не	34	120
2	и т	3	82
3	по себе	4	79
4	а не	27	78
5	и в	22	77
6	точки зрения	8	72
7	может быть	24	71
8	не только	50	66
9	то что	14	59
10	ничего не	8	54
11	не может	16	53
12	и даже	4	47
13	с точки	2	46
14	что это	4	46
15	потому что	7	45
16	стало быть	4	44
17	не просто	2	44
18	как бы	11	43
19	не имеет	3	41
20	вовсе не	2	41
21	в том	20	40
22	в этом	23	39
23	то же	12	39
24	в себе	14	38
25	что она	3	38
26	том что	15	37
27	что он	7	37
28	прежде всего	7	37
29	это не	6	36
30	что в	6	34
31	в нем	9	34
32	и все	7	33
33	того что	7	33
34	но и	39	32
35	ясно что	2	31
36	и как	4	30
37	отнюдь не	6	30
38	сказать что	5	30
39	так и	12	29
40	было бы	2	29
41	как и	15	28
42	никогда не	8	27
43	в виду	2	26
44	не в	12	26
45	и то	3	25
46	если бы	9	24
47	но это	2	24
48	и вот	2	23
49	в то	9	23
50	это и	2	23
51	таким образом	5	23
52	я не	5	22
53	она не	2	21
54	что не	2	21
55	должна быть	2	21
56	в чем	3	21
57	только в	23	20
58	как раз	9	20
59	что и	3	20
60	о том	5	20
61	уже не	11	20
62	и с	3	20
63	в таком	4	20
64	и притом	3	19
65	в своем	7	19
66	что мы	2	19
67	как это	7	19
68	не менее	6	19
69	в самом	8	19
70	не существует	3	19
71	и его	12	19
72	с другой	6	18
73	хотя бы	4	18
74	же время	7	18
75	жизни и	7	18
76	той или	7	17
77	в сущности	2	17
78	можно сказать	11	17
79	в особенности	2	17
80	в своей	8	16
81	мы не	5	16
82	только не	2	16
83	или не	5	16
84	к нему	5	16
85	да и	5	16
86	одно и	2	16
87	об этом	8	16
88	тем не	7	16
89	и о	4	15
90	быть и	3	15
91	то в	4	15
92	сознания и	2	15
93	только что	4	15
94	также и	4	15
95	все же	10	15
96	так же	2	15
97	в виде	2	15
98	самом деле	4	15
99	хотя и	8	15
100	на то	4	15
101	личности в	2	15
102	и потому	2	14
103	и ее	3	14
104	я уже	2	14
105	с ним	6	14
106	а именно	2	14
107	не было	3	14
108	и только	2	14
109	ни о	3	13
110	в силу	5	13
111	но в	10	13
112	в ней	5	13
113	говорит о	3	13
114	он не	8	13
115	что именно	2	13
116	собственно говоря	3	13
117	другой стороны	2	13
118	с ее	3	13
119	субъекта и	2	13
120	и к	7	13
121	не могу	2	13
122	еще не	6	12
123	не говорит	4	12
124	все эти	3	12
125	никак не	5	12
126	все равно	2	12
127	именно в	5	12
128	перед нами	9	12
129	но как	3	12
130	а в	19	12
131	тем более	2	12
132	и тогда	2	12
133	но не	7	12
134	не о	2	11
135	та же	2	11
136	быть в	2	11
137	и тем	9	11
138	только на	4	11
139	в данном	17	11
140	мы имеем	6	11
141	что я	4	11
142	из них	4	11
143	о личности	2	11
144	или в	7	11
145	а потом	2	10
146	одно из	2	10
147	в душе	3	10
148	к тому	13	10
149	в ее	4	10
150	как мы	3	10
151	в его	12	10
152	это было	3	10
153	для того	4	10
154	с этой	3	10
155	себе и	2	10
156	и для	4	10
157	оно не	4	10
