N	2gram	Berdyaev_N	Komedia
1	и в	16	77
2	и не	11	47
3	в том	8	44
4	том что	2	42
5	о том	4	33
6	но и	3	32
7	может быть	7	30
8	в то	2	28
9	в этом	7	27
10	потому что	4	27
11	к тому	3	26
12	не только	5	25
13	вместе с	2	25
14	как и	7	23
15	ни в	6	23
16	что в	9	23
17	так и	2	21
18	а в	2	21
19	еще не	3	17
20	в нем	5	17
21	у него	2	16
22	не менее	4	16
23	он не	8	16
24	не в	6	15
25	прежде всего	4	15
26	и на	2	15
27	все это	5	14
28	на протяжении	2	14
29	и с	2	14
30	то что	4	13
31	но в	2	13
32	в них	4	13
33	того чтобы	2	13
34	что она	2	13
35	так же	2	12
36	с другой	3	12
37	как это	2	12
38	в истории	3	12
39	хотя и	2	12
40	не может	16	12
41	как в	3	12
42	но не	2	12
43	нового времени	12	12
44	наряду с	3	11
45	с тем	3	11
46	и даже	2	11
47	и для	4	11
48	и все	4	10
49	мы не	2	10
50	с его	6	10
51	с этим	2	10
52	с одной	2	10
53	и что	2	10
54	одной стороны	2	9
55	в своей	3	9
56	время как	2	9
57	в ней	5	9
58	такого рода	2	8
59	по своему	4	8
60	место в	2	8
61	не знает	6	8
62	войны и	2	8
63	другой стороны	2	8
64	можно было	2	8
65	не было	4	8
66	во всех	3	8
67	вопрос о	3	7
68	в себе	2	7
69	и к	5	7
70	и это	2	7
71	хотя бы	2	7
72	не имеет	4	7
73	равно как	2	7
74	могут быть	2	6
75	нет и	2	6
76	это было	3	6
77	как будто	2	6
78	а не	17	6
79	никогда не	6	5
80	это не	4	5
81	роль в	2	5
82	и мы	4	5
83	все время	2	5
84	по существу	2	5
85	к ним	3	5
86	не могла	2	5
87	в ее	3	5
88	который в	2	5
89	сказать что	3	5
90	и от	2	5
91	для этого	2	5
92	себя в	2	5
93	в мире	3	5
94	за пределы	3	5
95	жизни и	8	5
96	конечно не	3	5
97	в духе	3	4
98	времени в	2	4
99	же как	2	4
100	в основе	3	4
101	одна из	2	4
102	в свои	2	4
103	с их	2	4
104	я не	2	4
105	времени и	2	4
106	такой же	2	4
107	том чтобы	2	4
108	новое время	4	4
109	и потому	4	3
110	возвращение к	3	3
111	должно было	2	3
112	должен быть	5	3
113	она не	3	3
114	в высшей	6	3
115	в эпоху	9	3
116	ли это	2	3
117	в новое	3	3
118	и начало	3	3
119	высшей степени	6	3
120	и есть	10	3
121	не к	2	3
122	античного мира	4	2
123	помнить что	2	2
124	которых не	2	2
125	государства и	4	2
126	ни одна	2	2
127	человека и	3	2
128	и формы	2	2
129	к более	2	2
130	не могли	2	2
131	к ее	3	2
132	в новой	7	2
133	общественной жизни	6	2
134	что все	2	2
135	совсем не	12	2
136	вернуться к	2	2
137	все эти	2	2
138	в центре	2	2
139	должна быть	3	2
140	нашего времени	2	2
141	но это	6	2
142	еще до	2	2
143	обращение к	2	2
144	с ее	5	2
145	как не	8	2
146	жизни в	3	2
147	не означает	3	2
148	формы и	2	2
149	политики и	2	2
150	наше время	4	2
151	в жизни	5	2
152	подобно тому	3	2
153	не будет	7	2
154	в смысле	2	2
155	этом смысле	2	2
156	тому как	3	2
157	к жизни	3	2
158	ли есть	2	2
159	к лицу	3	2
