N	2gram	Savitsky_P	Tragedij
1	и в	14	18
2	в этом	10	9
3	не только	17	8
4	и не	12	7
5	как бы	4	7
6	и с	2	7
7	может быть	5	7
8	же время	7	6
9	но в	9	6
10	это не	3	5
11	то же	9	5
12	не может	4	5
13	а я	5	5
14	в то	7	5
15	что в	4	4
16	но и	6	4
17	прежде всего	3	4
18	том что	4	4
19	все это	2	4
20	в нем	3	4
21	то что	4	4
22	в себе	3	4
23	и как	3	3
24	в мире	2	3
25	тем самым	3	3
26	iii в	2	3
27	в своем	4	3
28	в его	2	3
29	отнюдь не	2	3
30	должно быть	2	3
31	и дети	2	2
32	с тем	3	2
33	одна из	2	2
34	в русском	2	2
35	в виде	2	2
36	в ее	2	2
37	не в	5	2
38	столь же	3	2
39	потому что	3	2
40	было в	2	2
41	в частности	2	2
42	и это	2	2
43	xix веке	2	2
44	в том	9	2
