N	2gram	Berdyaev_N	Marksizm
1	может быть	7	64
2	и в	16	63
3	и не	11	55
4	не может	16	47
5	и пр	3	42
6	в этом	7	39
7	лишь в	6	30
8	не только	5	29
9	в нем	5	28
10	но и	3	27
11	прежде всего	4	24
12	как и	7	24
13	так и	2	23
14	и т.п	2	23
15	в том	8	22
16	то что	4	22
17	а не	17	22
18	том что	2	19
19	не в	6	19
20	но в	2	18
21	в ее	3	18
22	и для	4	18
23	в то	2	16
24	во всех	3	15
25	в русском	2	15
26	хотя бы	2	14
27	в смысле	2	14
28	так же	2	13
29	мы не	2	13
30	того чтобы	2	13
31	в своей	3	13
32	что в	9	13
33	а в	2	12
34	в основе	3	12
35	в высшей	6	12
36	высшей степени	6	12
37	он не	8	12
38	как в	3	11
39	и все	4	11
40	и на	2	11
41	в ней	5	11
42	все эти	2	11
43	и от	2	11
44	еще не	3	11
45	и что	2	11
46	никогда не	6	10
47	и потому	4	10
48	бытия в	2	10
49	с его	6	10
50	сказать что	3	10
51	одна из	2	10
52	с другой	3	10
53	конечно не	3	10
54	в себе	2	9
55	это не	4	9
56	и это	2	9
57	к тому	3	9
58	в истории	3	9
59	не имеет	4	9
60	ни в	6	9
61	с этим	2	8
62	не будет	7	8
63	другой стороны	2	8
64	за пределы	3	8
65	мысли и	2	8
66	и даже	2	8
67	и с	2	8
68	не было	4	8
69	у него	2	8
70	место в	2	7
71	могут быть	2	7
72	и формы	2	7
73	о том	4	7
74	не существует	3	7
75	не есть	3	6
76	вопрос о	3	6
77	не имеют	2	6
78	одной стороны	2	6
79	все это	5	6
80	с ее	5	6
81	должна быть	3	6
82	с одной	2	6
83	смысле слова	3	6
84	уже не	2	6
85	не к	2	6
86	xix века	5	5
87	не менее	4	5
88	хотя и	2	5
89	себя в	2	5
90	все время	2	5
91	должно быть	4	5
92	связана с	2	5
93	жизни в	3	5
94	она не	3	5
95	формы и	2	5
96	но не	2	5
97	что такое	3	5
98	вместе с	2	5
99	к ее	3	4
100	и к	5	4
101	стремится к	3	4
102	что все	2	4
103	в них	4	4
104	можно назвать	2	4
105	нет и	2	4
106	что она	2	4
107	нем нет	2	4
108	не знает	6	4
109	но для	2	4
110	жизни и	8	4
111	это и	2	4
112	в нашу	2	3
113	должен быть	5	3
114	роль в	2	3
115	с тем	3	3
116	как это	2	3
117	потому что	4	3
118	связаны с	2	3
119	эти формы	3	3
120	мысли в	2	3
121	ли это	2	3
122	но это	6	3
123	можно было	2	3
124	с их	2	3
125	ни к	2	3
126	на протяжении	2	3
127	к жизни	3	3
128	и есть	10	3
129	борьба и	2	2
130	лицом к	3	2
131	стремиться к	2	2
132	в духе	3	2
133	в судьбах	2	2
134	должно было	2	2
135	к более	2	2
136	со всех	4	2
137	к ним	3	2
138	в прошлом	3	2
139	мира и	2	2
140	не могла	2	2
141	быть в	2	2
142	совсем не	12	2
143	же как	2	2
144	когда мы	2	2
145	в эпоху	9	2
146	всех сторон	4	2
147	это было	3	2
148	в новое	3	2
149	перестает быть	4	2
150	культуры и	7	2
151	есть в	2	2
152	в жизни	5	2
153	есть лишь	4	2
154	зависит от	2	2
155	этом смысле	2	2
156	общества и	2	2
157	каждого человека	2	2
158	нового времени	12	2
159	и весь	2	2
160	к лицу	3	2
161	не значит	3	2
