N	3gram	Tiupa_Hudo	DiskursI
1	в том что	8	28
2	в отличие от	7	26
3	по отношению к	10	17
4	с одной стороны	3	14
5	не может быть	4	12
6	той или иной	5	10
7	то же время	7	10
8	в то же	7	8
9	состоит в том	5	8
10	не сводится к	9	6
11	в основе своей	2	6
12	с точки зрения	3	6
13	в конечном счете	5	6
14	в русской литературе	2	5
15	подобно тому как	3	5
16	в значительной степени	2	5
17	по сути своей	3	5
18	по своей природе	2	5
19	несет в себе	3	5
20	присутствия в мире	7	5
21	с другой стороны	6	5
22	в свою очередь	2	5
23	и прежде всего	2	4
24	до известной степени	2	4
25	тем не менее	3	4
26	а с другой	2	4
27	тот или иной	3	4
28	одного и того	3	4
29	можно сказать что	3	4
30	в силу своей	4	4
31	однако при этом	2	4
32	со стороны адресата	2	4
33	по сути дела	3	4
34	и того же	3	4
35	одно и то	3	3
36	и то же	3	3
37	более или менее	6	3
38	как уже говорилось	2	3
39	значении этого термина	2	3
40	мы имеем дело	2	3
41	в том числе	3	3
42	том числе и	2	3
43	того или иного	4	3
44	во внешнем мире	2	3
45	в равной степени	2	3
46	преодолеваемая даль и	2	2
47	то ни было	2	2
48	бы то ни	2	2
49	в рамках которого	2	2
50	сближение но не	3	2
51	сказания или анекдота	2	2
52	но не слияние	3	2
53	так и не	4	2
54	роли в миропорядке	4	2
55	тем или иным	2	2
56	значении этого слова	2	2
57	и сближение но	2	2
58	в этом мире	2	2
59	ни в мире	3	2
60	и в форме	2	2
61	в том и	2	2
62	причастной вненаходимости бахтин	2	2
63	как к содержанию	2	2
64	я в мире	7	2
65	даль и сближение	2	2
66	и в то	2	2
67	включает в себя	2	2
68	индивидуального речевого замысла	2	2
69	по большей части	2	2
