N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	6	8
2	с одной стороны	7	7
3	с точки зрения	31	6
4	для того чтобы	24	5
5	до сих пор	6	5
6	друг с другом	6	5
7	в том числе	2	5
8	и вместе с	2	4
9	о том что	4	4
10	том числе и	2	4
11	так же как	13	3
12	точно так же	3	3
13	тем не менее	4	3
14	в том что	24	3
15	и в этом	2	2
16	можно сказать что	7	2
17	на то что	5	2
18	но вместе с	2	2
19	заключает в себе	2	2
20	то же самое	11	2
21	с тем и	2	2
22	таким образом в	2	2
23	в то же	2	2
24	той или иной	2	2
25	в значительной мере	2	2
26	с самого начала	13	2
27	этой точки зрения	4	2
28	друг на друга	2	2
29	с этой точки	4	2
30	в этом отношении	7	2
31	по сравнению с	20	2
