N	2gram	Berdyaev_V	KulturaY
1	и т	2	143
2	и в	16	84
3	в том	3	74
4	потому что	4	68
5	не только	2	60
6	в этом	4	57
7	и не	20	52
8	том что	2	44
9	того чтобы	2	44
10	что в	3	44
11	т д	2	42
12	хотя бы	3	37
13	так как	9	36
14	а не	7	33
15	можно было	2	32
16	не в	3	30
17	прежде всего	2	30
18	в его	4	30
19	того что	5	28
20	все эти	3	28
21	уже не	2	26
22	то что	9	25
23	еще не	8	24
24	так и	4	23
25	только в	2	23
26	во всяком	2	20
27	но и	5	20
28	и что	3	20
29	что он	4	19
30	но в	3	19
31	тем что	2	19
32	между тем	2	18
33	все это	5	18
34	к тому	3	18
35	с тем	2	18
36	как бы	5	18
37	это не	2	17
38	что не	4	16
39	что и	3	16
40	тот же	3	16
41	но не	2	16
42	один из	2	15
43	а в	2	15
44	должно быть	3	15
45	лишь в	3	15
46	не было	3	15
47	в них	3	14
48	хотя и	5	14
49	в ней	4	14
50	не могут	2	13
51	для нас	2	13
52	могут быть	2	12
53	говорить о	4	12
54	должна быть	3	11
55	в нем	4	11
56	и то	2	11
57	как и	4	10
58	бы и	3	10
59	конечно не	2	10
60	что все	4	9
61	и для	3	9
62	в своей	3	9
63	но это	3	9
64	не имеет	3	9
65	ни в	3	9
66	что мы	4	9
67	и есть	4	9
68	в чем	3	8
69	что они	7	8
70	с его	3	8
71	да и	2	8
72	в этих	3	8
73	тому что	3	8
74	что я	3	8
75	не есть	6	8
76	и потому	7	7
77	а с	2	7
78	на том	2	7
79	в истории	8	7
80	все равно	2	7
81	в котором	4	7
82	с ним	2	7
83	его к	2	6
84	от этого	3	6
85	на себя	5	6
86	когда в	2	6
87	то это	3	6
88	мы не	2	6
89	не с	2	6
90	оно не	3	6
91	если не	3	6
92	никогда не	3	5
93	в духе	2	5
94	в форме	2	5
95	в конце	3	5
96	не так	2	5
97	и тогда	2	5
98	как не	3	5
99	превращается в	3	5
100	уже на	2	4
101	всего в	2	4
102	и все	4	4
103	вот почему	2	4
104	я говорю	2	4
105	не к	2	4
106	и это	2	4
107	до того	2	4
108	вопросе о	2	4
109	мы и	2	4
110	но мы	2	3
111	и мы	3	3
112	вместо того	2	3
113	его и	2	3
114	что от	2	3
115	и я	4	3
116	под этим	2	3
117	это еще	4	3
118	нет и	2	3
119	в первый	3	3
120	в последнем	2	3
121	более чем	2	3
122	что есть	5	3
123	для него	2	3
124	все что	4	3
125	есть уже	2	3
126	давно уже	2	3
127	будет уже	2	3
128	что их	2	2
129	в силах	4	2
130	от него	2	2
131	и новые	2	2
132	они будут	4	2
133	это все	2	2
134	по этому	3	2
135	для них	2	2
136	жизни и	3	2
137	в вопросе	3	2
138	тех которые	3	2
139	на этих	2	2
140	ее в	2	2
141	вслед за	2	2
142	одна из	2	2
143	любовь к	3	2
144	от которого	3	2
145	которые не	2	2
146	что теперь	2	2
147	под конец	2	2
148	в жизни	3	2
149	по пути	5	2
150	не будет	2	2
151	за то	3	2
152	так не	2	2
153	и теперь	2	2
154	ли ты	2	2
155	и против	3	2
156	что было	2	2
157	в себя	2	2
158	материалом для	2	2
