N	2gram	Berdyaev_N	VerxiiNi
1	и в	16	26
2	с тем	3	18
3	в этом	7	15
4	вместе с	2	15
5	в том	8	11
6	не только	5	10
7	и с	2	10
8	может быть	7	10
9	что в	9	9
10	но и	3	9
11	но не	2	8
12	с другой	3	8
13	и не	11	8
14	в эпоху	9	7
15	потому что	4	7
16	одной стороны	2	7
17	в религиозном	2	7
18	то что	4	7
19	с одной	2	7
20	но в	2	7
21	том что	2	7
22	к тому	3	6
23	о том	4	6
24	в себе	2	6
25	все эти	2	6
26	все это	5	6
27	и потому	4	6
28	так и	2	6
29	никогда не	6	5
30	в мире	3	5
31	и для	4	5
32	не имеет	4	5
33	так же	2	5
34	и к	5	5
35	к жизни	3	5
36	того чтобы	2	5
37	лишь в	6	5
38	а не	17	5
39	и от	2	4
40	что все	2	4
41	а в	2	4
42	в нем	5	4
43	не может	16	4
44	в смысле	2	4
45	бога и	3	4
46	и что	2	4
47	он не	8	4
48	в то	2	4
49	к богу	2	3
50	к ним	3	3
51	уже не	2	3
52	хотя бы	2	3
53	и даже	2	3
54	же как	2	3
55	не менее	4	3
56	культуры и	7	3
57	по своему	4	2
58	сказать что	3	2
59	для этого	2	2
60	эпоху когда	2	2
61	и это	2	2
62	в россии	3	2
63	ли это	2	2
64	не могла	2	2
65	должно было	2	2
66	конечно не	3	2
67	в них	4	2
68	и на	2	2
69	в русском	2	2
70	еще не	3	2
71	жизни и	8	2
72	в новом	2	2
73	не было	4	2
74	можно назвать	2	2
75	не в	6	2
76	перестает быть	4	2
77	волю к	3	2
78	и все	4	2
79	народные массы	4	2
80	не к	2	2
81	силы и	2	2
82	прежде всего	4	2
83	связана с	2	2
84	с его	6	2
85	во всех	3	2
86	от бога	6	2
87	по существу	2	2
