N	3gram	Propp_Isto	Myshleni
1	в том что	7	133
2	по отношению к	3	42
3	с одной стороны	11	39
4	так же как	4	39
5	можно было бы	3	28
6	в этом случае	4	27
7	с другой стороны	17	26
8	вместе с тем	6	26
9	о том что	9	25
10	не может быть	5	23
11	в то время	4	22
12	в зависимости от	3	22
13	то время как	4	20
14	во всяком случае	3	18
15	этой точки зрения	3	17
16	до сих пор	4	17
17	как мы видели	3	17
18	с этой точки	3	16
19	в данном случае	7	15
20	на этот вопрос	3	14
21	мы видели что	4	14
22	то и другое	2	13
23	это значит что	2	13
24	точно так же	2	13
25	в другом месте	2	13
26	тем не менее	4	12
27	в том чтобы	2	12
28	мы не можем	2	11
29	том что в	2	11
30	но вместе с	2	10
31	то что в	4	10
32	друг на друга	2	10
33	более или менее	3	9
34	приводит нас к	2	9
35	как и в	3	9
36	с тем что	2	9
37	что и в	3	8
38	независимо от того	2	8
39	о том как	3	7
40	и вместе с	3	7
41	лежит в основе	2	6
42	в этом и	2	6
43	больше и больше	2	5
44	но все же	3	5
45	так как это	3	5
46	таким образом мы	3	5
47	все больше и	2	5
48	так как он	4	5
49	мы хотели бы	2	5
50	не только в	9	5
51	после того как	4	4
52	в тех случаях	7	4
53	мы увидим что	2	4
54	но и в	4	4
55	потому что у	2	4
56	не представляет собой	3	4
57	так и в	3	4
58	но так как	4	4
59	то же что	2	4
60	таким образом и	3	4
61	тех случаях когда	6	4
62	мы видим что	4	4
63	он показывает что	3	3
64	мы можем установить	2	3
65	совершенно то же	2	3
66	надо сказать что	2	3
67	мы имеем в	7	3
68	на том что	2	3
69	во всех этих	6	2
70	новые и новые	2	2
71	может быть понят	2	2
72	с того что	3	2
73	в этих случаях	12	2
74	что у него	5	2
75	и в области	2	2
76	но тем не	2	2
77	в ответ на	3	2
78	здесь мы имеем	8	2
79	начинается с того	3	2
80	мы уже видели	3	2
