N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	15	7
2	в том	16	5
3	в этом	27	5
4	не только	23	3
5	и только	2	3
6	в его	17	3
7	не в	8	3
8	и в	67	3
9	литературы и	3	2
10	это и	10	2
11	еще не	5	2
12	только в	6	2
13	что в	14	2
14	тем более	3	2
15	в частности	4	2
16	том что	13	2
17	было бы	5	2
18	таким образом	20	2
19	то же	18	2
20	как будто	2	2
21	и что	3	2
22	то что	9	2
23	как бы	18	2
24	но и	23	2
25	в конце	12	2
26	за пределы	4	2
27	далеко не	6	2
28	может быть	4	2
29	по существу	4	2
30	в результате	5	2
31	ведь это	3	2
