N	3gram	Bakhtin_Fr	Literetu
1	в то же	5	21
2	то же время	5	21
3	в том что	6	21
4	по отношению к	2	12
5	с одной стороны	2	12
6	в отличие от	4	11
7	не может быть	5	11
8	о том что	3	10
9	в этом отношении	5	10
10	с точки зрения	6	8
11	в том числе	10	6
12	подобно тому как	2	6
13	не только в	5	6
14	и прежде всего	4	4
15	во всяком случае	2	3
16	той или иной	5	3
17	на самом деле	2	3
18	к себе самому	2	3
19	в целом ряде	2	3
20	том числе и	7	3
21	и в частности	2	3
22	для того чтобы	2	2
23	это уже не	3	2
24	так и не	3	2
25	в свое время	5	2
26	во второй половине	2	2
27	все же в	2	2
28	в xix веке	2	2
29	со второй половины	2	2
30	в другом месте	2	2
31	но и в	5	2
32	дело в том	2	2
33	в значительной степени	4	2
34	в себе и	2	2
