N	2gram	Medvedev_S	VeschiIm
1	не только	3	48
2	то что	2	48
3	и в	3	45
4	может быть	2	39
5	было бы	2	24
6	только в	2	23
7	и что	2	22
8	в смысле	2	22
9	как бы	2	20
10	но и	2	19
11	в этом	5	18
12	таким образом	2	16
13	в том	5	15
14	не в	3	14
15	том что	2	13
16	это и	2	13
17	что в	2	12
18	то же	2	12
19	еще не	2	12
20	и только	3	11
21	в результате	2	9
22	все это	7	8
23	должна быть	2	8
24	как же	3	6
25	как только	2	6
26	и мы	2	5
27	в его	3	5
28	она может	2	4
29	в конце	2	4
30	дело не	2	4
31	главным образом	2	4
32	в частности	2	3
33	нужно было	2	3
34	по существу	2	3
35	тем более	2	3
36	очевидно что	2	2
37	конце концов	2	2
38	метод и	2	2
39	по природе	2	2
40	но ведь	3	2
41	далеко не	2	2
42	для нас	3	2
43	только как	2	2
44	как будто	2	2
