N	3gram	Voloshinov	Analitik
1	в том что	9	25
2	не может быть	14	19
3	по отношению к	11	18
4	в то же	6	16
5	о том что	3	15
6	в данном случае	4	14
7	то же время	6	14
8	в отличие от	2	14
9	в конечном счете	3	11
10	с одной стороны	2	9
11	в свою очередь	4	9
12	в этом отношении	4	8
13	с точки зрения	15	8
14	во всяком случае	8	7
15	в таком случае	4	7
16	тем не менее	4	6
17	в самом деле	10	4
18	том что он	2	4
19	для того чтобы	3	4
20	и не может	3	4
21	в этом смысле	2	4
22	то ни было	2	3
23	бы то ни	3	3
24	как раз и	2	3
25	то же самое	2	3
26	далеко не всегда	3	3
27	сам по себе	4	3
28	хотя бы и	2	3
29	не могут быть	4	3
30	и тот же	3	3
31	одной и той	3	3
32	можно сказать что	5	3
33	и той же	3	3
34	в зависимости от	4	3
35	в таких случаях	2	2
36	в применении к	2	2
37	на этот вопрос	3	2
38	что же касается	3	2
39	а с другой	2	2
40	внутренней и внешней	3	2
41	во внешнем мире	4	2
42	но в то	3	2
43	к тому что	2	2
44	отнюдь не является	3	2
45	один и тот	3	2
46	заключается в том	2	2
47	если бы он	3	2
48	до сих пор	3	2
49	и прежде всего	7	2
50	нет и не	3	2
