N	3gram	Tiupa_Disk	VLabPisa
1	в этом отношении	4	14
2	с другой стороны	4	8
3	не может быть	5	8
4	по отношению к	13	7
5	более или менее	2	6
6	в конечном счете	2	5
7	в то же	7	5
8	в том что	18	5
9	то же время	9	5
10	можно сказать что	3	4
11	подобно тому как	4	3
12	большей или меньшей	2	3
13	и в то	2	3
14	о том что	8	3
15	по крайней мере	3	2
16	с одной стороны	12	2
17	в частности в	2	2
18	во всяком случае	2	2
19	не было в	3	2
20	в том числе	3	2
21	одной стороны и	3	2
22	только то что	2	2
23	и не может	3	2
24	не только в	2	2
25	том числе и	3	2
26	не в том	3	2
27	только в том	2	2
28	можно определить как	2	2
29	в том чтобы	2	2
