N	2gram	Medvedev_F	DiskursI
1	в качестве	2	72
2	а не	11	60
3	может быть	30	56
4	не только	14	49
5	и в	54	49
6	как и	18	47
7	при этом	14	46
8	в том	17	44
9	и не	34	44
10	том что	3	40
11	в этом	39	38
12	в себе	4	37
13	состоит в	3	37
14	в частности	4	36
15	но и	18	35
16	но не	5	31
17	со стороны	7	28
18	так и	24	28
19	отличие от	2	28
20	но в	9	28
21	не может	26	27
22	в отличие	2	27
23	как в	12	25
24	еще не	6	23
25	отнюдь не	13	23
26	все же	8	19
27	прежде всего	34	19
28	в нем	25	19
29	в своей	16	19
30	в основе	7	18
31	далеко не	2	18
32	по отношению	4	17
33	в данном	2	17
34	то же	16	17
35	с другой	8	17
36	отношению к	4	17
37	в мире	4	17
38	точки зрения	21	16
39	только в	6	16
40	роль в	2	15
41	в его	30	15
42	то что	14	15
43	это не	4	14
44	не в	16	14
45	не менее	12	14
46	одной стороны	5	14
47	можно сказать	2	14
48	не является	3	14
49	с одной	5	14
50	в целом	7	13
51	речевого общения	6	13
52	для него	9	13
53	как бы	10	13
54	данном случае	2	12
55	в своем	12	12
56	и все	9	12
57	в своих	3	12
58	и на	10	12
59	что в	10	11
60	с его	12	11
61	и как	6	11
62	не сводится	2	11
63	столь же	2	11
64	не было	7	11
65	а в	11	10
66	не столько	5	10
67	же время	13	10
68	тем самым	5	9
69	в то	14	9
70	между тем	4	9
71	в них	4	9
72	уже не	9	9
73	еще в	2	9
74	сводится к	6	9
75	художественного целого	2	9
76	этом отношении	7	8
77	и о	3	8
78	к тому	6	8
79	потому что	2	8
80	не на	3	8
81	хотя и	3	8
82	если в	3	8
83	и даже	7	8
84	жизни в	2	8
85	в этих	3	8
86	не с	2	8
87	в котором	2	8
88	в одном	2	8
89	из них	5	8
90	он не	8	8
91	не следует	5	8
92	перед нами	3	7
93	его в	5	7
94	могут быть	7	7
95	и ее	15	7
96	приводит к	4	7
97	одной из	2	7
98	и для	5	7
99	но это	4	7
100	в процессе	17	7
101	что и	10	7
102	в этой	10	7
103	другой стороны	5	7
104	к этому	3	7
105	мира в	2	7
106	лишь в	15	7
107	в пределах	13	7
108	ни в	3	7
109	той же	2	7
110	и его	27	7
111	таким образом	28	7
112	никогда не	6	6
113	к его	3	6
114	не как	7	6
115	отношение к	4	6
116	что он	8	6
117	в контексте	2	6
118	именно в	12	6
119	одного из	4	6
120	что же	6	6
121	здесь не	5	6
122	и может	6	6
123	в сущности	3	6
124	в истории	10	6
125	в ее	10	6
126	одна из	2	6
127	в эпоху	2	6
128	то в	3	6
129	в строгом	2	6
130	во всех	9	6
131	в особенности	7	6
132	с точки	17	6
133	в противовес	2	6
134	ничего не	5	5
135	в другом	2	5
136	общения в	3	5
137	в виду	2	5
138	в их	16	5
139	свою очередь	6	5
140	и потому	9	5
141	того что	7	5
142	стороны и	4	5
143	во втором	7	5
144	несмотря на	2	5
145	один из	4	5
146	здесь в	2	5
147	в ряду	2	5
148	было в	3	5
149	сказать что	3	5
150	значительной степени	3	5
151	из этих	4	5
152	так сказать	6	5
153	подход к	2	5
154	за пределы	2	5
155	с ее	7	5
156	во второй	3	5
157	в значительной	3	5
158	известной степени	4	5
159	в свою	8	5
160	в литературе	6	5
161	можно говорить	2	5
162	оно не	6	5
163	на этом	2	5
164	в сторону	4	5
165	в той	3	5
166	как раз	8	5
167	говорить о	4	5
168	не к	2	5
169	в ней	15	5
170	тем что	6	5
171	становления и	3	5
172	не о	7	4
173	до конца	9	4
174	не могут	8	4
175	а на	2	4
176	общения и	3	4
177	и прежде	3	4
178	и тем	3	4
179	у них	3	4
180	может и	2	4
181	в современном	2	4
182	и др	8	4
183	того или	6	4
184	в произведении	2	4
185	как это	8	4
186	и это	4	4
187	более того	6	4
188	только на	8	4
189	ни одна	2	4
190	произведение в	3	4
191	на его	2	4
192	что не	4	4
193	в году	2	4
194	аналогии с	4	4
195	между двумя	3	4
196	и до	8	4
197	и во	2	4
198	что они	4	4
199	указать на	2	4
200	в первом	8	4
201	должны быть	6	4
202	во всяком	6	4
203	во внешнем	2	4
204	или иного	8	4
205	до известной	3	4
206	а к	2	4
207	однако и	3	4
208	в результате	8	4
209	по преимуществу	6	4
210	отличается от	4	4
211	тем не	2	4
212	связи с	12	4
213	а сам	2	4
214	тот или	2	4
215	в какой	3	4
216	или на	2	4
217	в жизни	3	4
218	в самом	17	4
219	не есть	4	4
220	и к	7	4
221	из виду	3	4
222	жизни а	2	4
223	зависит от	2	4
224	по себе	10	4
225	настоящего времени	3	4
226	не для	4	4
227	к другому	2	4
228	точка зрения	3	4
229	или в	2	4
230	и само	2	4
231	с ним	3	4
232	вопрос о	3	3
233	и притом	2	3
234	идет о	3	3
235	к другим	4	3
236	виду что	3	3
237	в форме	2	3
238	к которому	2	3
239	это и	7	3
240	роли в	4	3
241	языка и	13	3
242	в области	6	3
243	в формах	4	3
244	в действительности	3	3
245	литературного произведения	6	3
246	тенденция к	2	3
247	как на	5	3
248	в структуре	2	3
249	характер и	2	3
250	они и	2	3
251	но как	2	3
252	значение для	2	3
253	бытия в	3	3
254	она не	8	3
255	они не	7	3
256	более или	7	3
257	что на	3	3
258	этого термина	2	3
259	из возможных	2	3
260	для этого	6	3
261	все эти	12	3
262	было бы	10	3
263	мы не	6	3
264	должна быть	11	3
265	и всякое	5	3
266	на языке	2	3
267	как мы	10	3
268	к миру	2	3
269	и от	9	3
270	произведения как	3	3
271	с этим	6	3
272	по аналогии	5	3
273	исторической поэтики	3	3
274	бы быть	3	3
275	его как	5	3
276	особенно в	6	3
277	с их	2	3
278	из важнейших	2	3
279	хотя бы	10	3
280	в которой	5	3
281	к ней	3	3
282	а о	4	3
283	и по	3	3
284	и наконец	7	3
285	и более	4	3
286	или менее	7	3
287	но все	4	3
288	отношения к	6	3
289	не имеет	2	3
290	является в	2	3
291	их в	2	3
292	когда он	3	3
293	входит в	8	3
294	на почве	20	3
295	всяком случае	6	3
296	и иные	3	3
297	жизни и	10	3
298	том случае	2	3
299	слова в	2	3
300	то ни	5	3
301	или даже	3	3
302	место в	8	3
303	в большинстве	6	3
304	жизни но	2	3
305	слова и	5	3
306	и что	2	3
307	жизни не	2	3
308	однако не	5	3
309	тем же	3	3
310	вместе с	8	3
311	в широком	5	2
312	и развития	2	2
313	в художественной	2	2
314	от его	3	2
315	в отношении	3	2
316	чтобы не	2	2
317	к одному	2	2
318	очевидно что	2	2
319	ни о	3	2
320	не происходит	2	2
321	а непосредственно	2	2
322	для всех	2	2
323	вступает в	2	2
324	они были	4	2
325	каждый из	3	2
326	вопроса о	2	2
327	в каждом	3	2
328	должно было	4	2
329	конструктивное значение	9	2
330	как к	5	2
331	едва ли	3	2
332	его из	3	2
333	мышления и	2	2
334	друг друга	4	2
335	за счет	4	2
336	сами по	4	2
337	литературы в	8	2
338	быть и	5	2
339	начала и	2	2
340	к предмету	4	2
341	в науке	2	2
342	и вся	2	2
343	в современной	2	2
344	в основном	3	2
345	самом деле	12	2
346	в чем	2	2
347	его не	2	2
348	всего в	5	2
349	по существу	8	2
350	в россии	4	2
351	как особой	2	2
352	мы видели	5	2
353	так например	3	2
354	в душе	2	2
355	установка на	3	2
356	в него	2	2
357	со всей	3	2
358	не приходится	4	2
359	к нему	3	2
360	о мире	2	2
361	с самого	2	2
362	уже как	3	2
363	а только	4	2
364	в различных	2	2
365	так в	3	2
366	на выражение	4	2
367	большинстве случаев	5	2
368	не то	3	2
369	не могло	6	2
370	перехода от	2	2
371	самого начала	2	2
372	в предыдущей	2	2
373	все это	11	2
374	значение не	2	2
375	теоретической мысли	3	2
376	этого слова	4	2
377	своего развития	2	2
378	же как	3	2
379	требует от	2	2
380	на язык	5	2
381	вовсе не	18	2
382	бы то	4	2
383	представление о	2	2
384	не могли	2	2
385	не от	3	2
386	могла бы	3	2
387	тех же	2	2
388	том чтобы	3	2
389	с другими	11	2
390	его с	5	2
391	время в	4	2
392	не сможет	2	2
393	же это	2	2
394	в первой	2	2
395	должно быть	13	2
396	в новое	2	2
397	для литературы	2	2
398	это было	3	2
399	о литературе	9	2
400	на него	3	2
401	то чтобы	2	2
402	как их	4	2
403	целый ряд	4	2
404	жизнь как	3	2
405	если бы	8	2
406	в первый	5	2
407	в языке	5	2
408	ни было	2	2
409	для того	3	2
410	и их	13	2
411	с этой	4	2
412	как его	3	2
413	в последнем	2	2
414	такой же	2	2
415	не по	4	2
416	одновременно с	2	2
417	отношении к	2	2
418	на фоне	7	2
419	сюжета и	2	2
420	и должно	4	2
421	речи и	2	2
422	значение в	4	2
423	ее в	3	2
424	не приводит	3	2
425	на то	2	2
426	в самой	2	2
427	еще более	6	2
428	время и	2	2
429	и с	17	2
430	целом и	4	2
431	но для	4	2
432	до настоящего	3	2
433	произведения в	9	2
434	влияния на	3	2
435	как таковая	2	2
436	в литературоведении	4	2
437	эпохи и	2	2
438	человек не	3	2
439	поэзии как	3	2
440	в некоторых	2	2
441	что было	2	2
442	и только	5	2
443	из ее	2	2
444	во всем	3	2
445	в нашем	2	2
446	этих двух	2	2
447	чтобы стать	2	2
448	на их	3	2
449	чем он	3	2
450	а как	5	2
451	на основе	6	2
452	с помощью	13	2
453	как с	2	2
