N	2gram	Potebnia_M	OGranits
1	и в	48	13
2	и его	4	12
3	прежде всего	6	9
4	и не	28	8
5	не может	18	8
6	может быть	46	8
7	в его	6	7
8	и их	4	7
9	точки зрения	4	7
10	не только	32	6
11	мы должны	6	6
12	как бы	10	6
13	таким образом	24	6
14	только в	29	6
15	то что	37	6
16	в поэзии	4	5
17	языка и	5	5
18	все же	3	5
19	с точки	3	5
20	и эта	2	5
21	и наконец	3	5
22	хотя бы	3	5
23	художественного произведения	6	5
24	в процессе	2	5
25	мы можем	13	4
26	но в	8	4
27	лишь в	2	4
28	то же	35	4
29	в сознании	36	4
30	но мы	3	4
31	тех пор	5	4
32	в своей	2	4
33	все это	4	4
34	было бы	16	4
35	мы не	17	4
36	в каждом	6	4
37	до тех	5	4
38	никогда не	2	3
39	да и	2	3
40	одно и	7	3
41	слово в	6	3
42	и то	13	3
43	и все	5	3
44	в ее	3	3
45	превращается в	3	3
46	вряд ли	4	3
47	с этим	12	3
48	отношению к	10	3
49	как и	22	3
50	не в	24	3
51	в их	2	3
52	говорить о	6	3
53	ничего общего	2	3
54	так как	20	3
55	в себе	26	3
56	что в	30	3
57	по отношению	12	3
58	поэтического произведения	2	3
59	самом деле	5	3
60	есть прежде	2	3
61	за пределы	2	3
62	пор пока	2	3
63	так и	17	3
64	что же	3	3
65	в которой	9	3
66	не как	3	3
67	к одному	7	3
68	в одном	4	3
69	в искусстве	6	3
70	тела и	2	3
71	но и	30	3
72	не столько	2	3
73	в самом	11	2
74	могут быть	6	2
75	мы видим	3	2
76	собственно говоря	2	2
77	в этом	19	2
78	в них	9	2
79	для себя	3	2
80	представлений и	5	2
81	данном случае	3	2
82	кажется что	3	2
83	уже в	10	2
84	отношений между	2	2
85	в том	47	2
86	тем что	13	2
87	может в	2	2
88	есть не	9	2
89	несмотря на	2	2
90	в целом	5	2
91	если бы	20	2
92	в произведении	4	2
93	от этого	2	2
94	думать что	6	2
95	с одной	8	2
96	не имеет	10	2
97	явлений и	3	2
98	но так	3	2
99	ее в	2	2
100	во времени	2	2
101	в действительности	7	2
102	с другой	8	2
103	там где	6	2
104	слова и	8	2
105	а в	14	2
106	и тем	8	2
107	том что	28	2
108	же слово	2	2
109	а как	2	2
110	и к	5	2
111	в языке	19	2
112	в данном	3	2
113	не менее	9	2
114	и следовательно	3	2
115	с ними	6	2
116	художественное произведение	6	2
117	в области	3	2
118	что эта	3	2
119	так же	6	2
120	от своего	2	2
121	что они	2	2
122	мы уже	5	2
123	те же	6	2
124	и при	5	2
125	с этой	2	2
126	и может	4	2
127	в своих	2	2
128	его на	3	2
129	в нем	16	2
130	при этом	6	2
131	сознания и	2	2
132	нет ничего	2	2
133	а не	22	2
134	между собою	13	2
135	в ней	11	2
136	вслед за	6	2
137	себе что	2	2
138	входит в	3	2
139	в течение	2	2
140	как в	17	2
141	другой стороны	4	2
142	во всем	2	2
143	при восприятии	2	2
144	одной стороны	4	2
145	бы в	3	2
146	между тем	19	2
147	в чем	6	2
148	которое мы	2	2
149	тот же	2	2
150	ни одно	2	2
151	вовсе не	13	2
152	к тому	9	2
153	для него	14	2
154	может стать	3	2
