N	2gram	Bakhtin_Fr	Dialekti
1	не есть	2	181
2	и не	13	120
3	по себе	2	79
4	а не	2	78
5	и в	73	77
6	точки зрения	6	72
7	может быть	5	71
8	не только	11	66
9	то что	12	59
10	и есть	3	55
11	ничего не	4	54
12	не может	4	53
13	и даже	4	47
14	так как	9	46
15	с точки	4	46
16	что это	9	46
17	потому что	9	45
18	не просто	3	44
19	как бы	15	43
20	ни в	7	42
21	и что	5	42
22	не имеет	4	41
23	вовсе не	11	41
24	в том	13	40
25	в этом	21	39
26	то же	16	39
27	в себе	16	38
28	том что	8	37
29	что он	8	37
30	прежде всего	18	37
31	это не	7	36
32	так что	2	36
33	что в	14	34
34	в нем	18	34
35	и все	19	33
36	того что	5	33
37	но и	15	32
38	все это	19	31
39	и как	5	30
40	сказать что	4	30
41	так и	13	29
42	было бы	5	29
43	как и	19	28
44	никогда не	6	27
45	в виду	4	26
46	не в	12	26
47	есть и	4	26
48	есть только	3	25
49	есть не	2	25
50	и то	3	25
51	учение о	2	25
52	но это	3	24
53	и вот	3	23
54	в то	14	23
55	таким образом	34	23
56	я не	3	22
57	должна быть	3	21
58	в чем	3	21
59	что все	3	20
60	только в	7	20
61	как раз	3	20
62	и вообще	3	20
63	что и	6	20
64	о том	13	20
65	уже не	2	20
66	и с	17	20
67	в своем	13	19
68	что мы	2	19
69	как это	2	19
70	и это	6	19
71	в самом	9	19
72	и его	18	19
73	с другой	3	18
74	же время	12	18
75	жизни и	6	18
76	в основе	3	17
77	в сущности	8	17
78	должно быть	4	17
79	в особенности	5	17
80	он есть	2	17
81	другими словами	2	16
82	в своей	4	16
83	мы не	2	16
84	кроме того	6	16
85	сам по	2	16
86	к нему	7	16
87	одно и	2	16
88	об этом	2	16
89	конечно не	2	16
90	и о	2	15
91	также и	6	15
92	но только	2	15
93	все же	2	15
94	так же	11	15
95	в виде	2	15
96	самом деле	4	15
97	хотя и	5	15
98	несмотря на	3	15
99	мы уже	25	15
100	и потому	6	14
101	жизнь и	3	14
102	и ее	2	14
103	с ним	6	14
104	есть то	2	14
105	пространства и	2	14
106	а именно	2	14
107	не было	4	14
108	но в	12	13
109	в ней	10	13
110	говорит о	2	13
111	он не	4	13
112	что именно	2	13
113	мы находим	3	13
114	что они	2	13
115	другой стороны	2	13
116	с ее	3	13
117	и к	6	13
118	еще не	3	12
119	все эти	24	12
120	иной раз	2	12
121	именно в	4	12
122	вещей и	2	12
123	перед нами	5	12
124	не могут	3	12
125	а в	10	12
126	и может	2	12
127	и нет	2	12
128	с этим	4	12
129	та же	7	11
130	в одну	4	11
131	мы говорим	2	11
132	и тем	3	11
133	только на	2	11
134	ничем не	3	11
135	в них	14	11
136	что если	2	11
137	в данном	3	11
138	мы имеем	2	11
139	есть в	9	11
140	из них	6	11
141	или в	5	11
142	нет никакой	2	10
143	может и	2	10
144	одно из	2	10
145	от этого	3	10
146	к тому	2	10
147	в ее	6	10
148	как мы	19	10
149	в его	18	10
150	это было	4	10
151	нет ни	3	10
152	с этой	4	10
153	себе и	2	10
154	и для	8	10
155	оно не	2	10
156	в их	5	10
157	в частности	2	10
158	мы видим	13	10
159	во всяком	2	10
160	в результате	7	10
161	времени и	2	10
162	во всем	5	10
163	если мы	2	10
164	как он	4	9
165	точка зрения	2	9
166	и по	4	9
167	в истории	3	9
168	превращается в	2	9
169	не как	2	9
170	в этих	6	9
171	между собою	3	9
172	в котором	4	9
173	той же	9	9
174	в одном	5	9
175	и от	10	9
176	с ними	4	9
177	при этом	5	9
178	и когда	3	9
179	и он	4	9
180	всех этих	2	9
181	бы в	3	9
182	как о	5	9
183	на этом	6	9
184	и на	12	9
185	на самом	2	8
186	в отношении	6	8
187	от него	3	8
188	как нечто	2	8
189	не на	5	8
190	в дальнейшем	3	8
191	в этой	18	8
192	только и	2	8
193	все время	4	8
194	у нас	4	8
195	и из	2	8
196	с одной	3	8
197	но все	5	8
198	у меня	2	8
199	даже в	4	8
200	в одной	5	8
201	один из	5	8
202	что есть	2	8
203	себя в	3	8
204	в разных	2	8
205	тем самым	3	7
206	и сама	2	7
207	в конце	9	7
208	а только	2	7
209	связи с	5	7
210	вещи в	2	7
211	его как	3	7
212	на первый	2	7
213	тем что	8	7
214	в связи	3	7
215	все что	5	7
216	как она	2	7
217	и всякий	2	7
218	и об	2	7
219	не знает	4	7
220	мира и	6	7
221	тело и	2	7
222	с его	5	7
223	и их	5	7
224	как в	9	7
225	в мире	3	7
226	и образ	6	7
227	из которых	2	7
228	так чтобы	3	7
229	он сам	4	7
230	но он	8	7
231	еще и	2	6
232	и времени	2	6
233	оказывается что	3	6
234	в другом	4	6
235	отношение к	3	6
236	может иметь	2	6
237	с тем	2	6
238	они не	2	6
239	более или	3	6
240	все вещи	2	6
241	того чтобы	2	6
242	никто не	11	6
243	на всю	2	6
244	одна из	7	6
245	для этого	2	6
246	в которой	3	6
247	но они	3	6
248	в себя	3	6
249	но с	3	6
250	вместе с	9	6
251	его в	3	6
252	и прежде	2	6
253	о чем	2	6
254	или менее	3	6
255	по существу	8	6
256	по своему	3	6
257	о нем	3	6
258	одной стороны	3	6
259	тела и	7	6
260	можно было	4	6
261	того как	7	6
262	во всех	13	6
263	о котором	5	6
264	дело не	2	6
265	с полной	2	6
266	для него	7	6
267	уже в	9	6
268	природы и	3	6
269	во времени	2	5
270	же мы	2	5
271	и во	4	5
272	мы еще	3	5
273	и наконец	6	5
274	в целях	2	5
275	сих пор	3	5
276	например в	8	5
277	что у	3	5
278	он может	3	5
279	их в	5	5
280	же что	2	5
281	из этого	2	5
282	конце концов	5	5
283	первый план	2	5
284	оно и	3	5
285	в это	3	5
286	и у	7	5
287	ведь это	3	5
288	в области	3	5
289	в него	4	5
290	все его	3	5
291	в качестве	11	5
292	тела в	9	5
293	и еще	2	5
294	к этому	5	5
295	как я	4	5
296	в свете	3	5
297	одного и	2	5
298	что его	2	5
299	в течение	2	5
300	что по	2	5
301	и так	2	5
302	он и	2	5
303	в той	8	5
304	явления и	2	5
305	до сих	3	5
306	и смерть	3	4
307	человека и	3	4
308	и эти	2	4
309	у них	3	4
310	ведь и	3	4
311	на них	3	4
312	видим что	2	4
313	это уже	3	4
314	здесь в	9	4
315	из самых	4	4
316	в состоянии	2	4
317	них и	2	4
318	и эта	4	4
319	нас в	3	4
320	то он	2	4
321	связанные с	4	4
322	еще более	4	4
323	и мира	2	4
324	как тело	2	4
325	наконец и	2	4
326	что их	2	4
327	том как	3	4
328	но именно	3	4
329	но эта	2	4
330	на все	2	4
331	и очень	2	4
332	людей и	3	4
333	в другое	5	4
334	но уже	3	4
335	в словах	2	4
336	этом отношении	3	4
337	у него	13	4
338	такой же	3	4
339	со всеми	4	4
340	явлений и	2	4
341	и здесь	5	4
342	и этим	2	4
343	к жизни	4	4
344	поэтому и	5	4
345	же в	2	4
346	чем же	2	4
347	представление о	3	4
348	возможно что	3	3
349	он берет	2	3
350	для нас	2	3
351	должен быть	4	3
352	но без	2	3
353	тех кто	2	3
354	следовательно и	2	3
355	и всегда	2	3
356	нами выше	2	3
357	всего в	5	3
358	отца и	2	3
359	одной из	5	3
360	с самого	2	3
361	как один	2	3
362	даже больше	2	3
363	место в	4	3
364	такое же	2	3
365	находим в	2	3
366	тот же	3	3
367	почти все	2	3
368	этот момент	2	3
369	тех же	2	3
370	здесь не	2	3
371	всего этого	3	3
372	говорит что	2	3
373	мысли и	3	3
374	фактов и	2	3
375	на него	2	3
376	целый ряд	4	3
377	лишь в	2	3
378	все они	7	3
379	от их	2	3
380	понятно что	2	3
381	как у	3	3
382	далеко не	2	3
383	образом и	2	3
384	в свою	3	3
385	в которых	3	3
386	мир не	2	3
387	нового времени	5	3
388	момент в	4	3
389	для всех	3	3
390	здесь как	2	3
391	не был	2	3
392	но есть	3	3
393	в свое	2	3
394	нас не	5	3
395	в отдельности	3	3
396	себе самом	2	3
397	только с	2	3
398	и смысл	2	3
399	солнца и	2	3
400	в основу	2	3
401	совсем не	3	3
402	и смерти	4	3
403	содержится в	2	3
404	во время	12	3
405	во всей	2	3
406	на земле	5	3
407	да еще	3	3
408	ни было	2	3
409	только его	2	3
410	форму и	2	3
411	к самому	2	3
412	мы в	2	3
413	не мог	2	3
414	не знаем	2	3
415	между тем	2	3
416	сказать и	2	3
417	вы думаете	2	2
418	в область	3	2
419	однако они	2	2
420	в силах	2	2
421	в голове	2	2
422	все те	2	2
423	всего это	2	2
424	связанное с	2	2
425	роль в	4	2
426	бы его	2	2
427	и других	3	2
428	свою очередь	3	2
429	тело в	2	2
430	и др	12	2
431	они были	5	2
432	где все	4	2
433	тело то	2	2
434	пространстве и	3	2
435	те же	3	2
436	не могла	2	2
437	в образе	6	2
438	в процессе	3	2
439	на землю	2	2
440	и самого	2	2
441	нужно сказать	4	2
442	страшного суда	3	2
443	несколько слов	3	2
444	что значит	3	2
445	также что	3	2
446	в эпоху	13	2
447	в духе	4	2
448	дело в	2	2
449	и до	14	2
450	в теле	3	2
451	слова и	2	2
452	находятся в	2	2
453	он был	7	2
454	мы сейчас	2	2
455	оказалось что	2	2
456	было и	2	2
457	со своими	2	2
458	он дает	5	2
459	на части	5	2
460	был в	3	2
461	имеем в	2	2
462	сливаются в	2	2
463	земли и	7	2
464	еще в	4	2
465	внимание на	2	2
466	находится в	2	2
467	в других	2	2
468	он только	2	2
469	в нашем	2	2
470	и вещей	2	2
471	вполне понятно	2	2
472	ему не	2	2
473	в различных	2	2
474	в каждой	2	2
475	которые в	2	2
476	они только	2	2
477	и движение	2	2
478	в человеке	2	2
479	в глаза	2	2
480	то есть	36	2
481	все то	3	2
482	времени в	2	2
483	к которому	2	2
484	проявляется в	3	2
485	и вся	3	2
486	во многих	2	2
487	связано с	3	2
488	во все	3	2
489	себе в	3	2
490	образом в	2	2
491	от них	2	2
492	но конечно	2	2
493	на том	2	2
494	слиты в	3	2
495	от этой	2	2
496	они и	4	2
497	в единой	2	2
498	которые были	2	2
499	одного из	3	2
500	никакому сомнению	2	2
501	здесь же	2	2
502	есть такое	2	2
503	между ними	2	2
504	том или	2	2
505	не были	5	2
506	и судьба	2	2
507	поэтому все	2	2
508	и самый	2	2
509	бытие но	2	2
510	на небе	3	2
511	он как	2	2
512	явлениями и	2	2
513	него и	2	2
514	с образом	5	2
515	пространства в	2	2
516	на одном	7	2
517	на сцену	2	2
518	первых двух	3	2
519	котором мы	4	2
520	новые и	2	2
521	себе все	3	2
522	мы увидим	4	2
523	человека в	3	2
524	в изображении	4	2
525	и оказывается	2	2
526	а для	2	2
527	не видел	2	2
528	вероучения и	2	2
529	конечно и	4	2
530	не должно	3	2
531	раз в	2	2
532	и образы	5	2
533	к его	2	2
534	в другой	2	2
535	их и	2	2
536	уже сказали	2	2
537	нашего анализа	2	2
538	именно на	2	2
539	и сам	2	2
540	как его	2	2
541	но оно	3	2
542	мира в	6	2
543	в системе	2	2
