N	2gram	Medvedev_S	Problema
1	и в	3	182
2	то что	2	144
3	не только	3	104
4	в этом	5	88
5	может быть	2	82
6	том что	2	81
7	в том	5	81
8	только в	2	73
9	но и	2	70
10	для нас	3	50
11	было бы	2	46
12	что в	2	44
13	в его	3	44
14	не в	3	43
15	таким образом	2	42
16	то же	2	42
17	и что	2	40
18	как бы	2	39
19	еще не	2	36
20	в конце	2	31
21	все это	7	31
22	в результате	2	26
23	как будто	2	26
24	тем более	2	24
25	конце концов	2	23
26	и только	3	21
27	это и	2	17
28	далеко не	2	16
29	в частности	2	15
30	за пределы	2	14
31	или даже	2	13
32	в смысле	2	12
33	как же	3	9
34	литературы и	2	9
35	но ведь	3	8
36	как только	2	8
37	только как	2	6
38	по существу	2	6
39	дело не	2	6
40	ведь это	2	5
41	и заключается	2	3
42	должна быть	2	3
43	и мы	2	3
44	она может	2	2
45	исторического развития	2	2
46	по отношению	2	2
47	нужно было	2	2
48	отношению к	2	2
