N	2gram	Losev_Prob	slovoVRo
1	и в	62	92
2	и т	20	82
3	то есть	63	64
4	в нем	13	59
5	может быть	39	59
6	и его	12	59
7	и не	56	51
8	не только	33	44
9	не может	14	41
10	но и	20	39
11	в этом	25	36
12	а не	28	34
13	во всех	4	32
14	так и	16	30
15	точки зрения	14	30
16	могут быть	2	29
17	языка и	4	29
18	в пределах	3	29
19	в его	10	27
20	все это	9	25
21	слова и	3	24
22	как бы	11	24
23	то же	23	23
24	и на	4	22
25	не в	21	21
26	как в	10	21
27	вовсе не	62	21
28	в то	18	20
29	в процессе	2	20
30	прежде всего	13	19
31	как мы	12	19
32	или иной	20	18
33	как и	15	18
34	себя в	4	18
35	с ним	11	18
36	все же	10	17
37	все эти	14	17
38	в истории	4	17
39	в основе	3	17
40	и даже	21	17
41	таким образом	13	17
42	отличие от	3	16
43	при этом	9	16
44	в них	6	16
45	но в	17	16
46	той или	22	15
47	и с	11	15
48	со своим	2	15
49	в той	8	15
50	с точки	9	15
51	в отличие	2	14
52	узком смысле	2	14
53	в узком	2	14
54	только в	33	14
55	это не	10	13
56	и следовательно	3	13
57	и для	5	13
58	с другой	14	13
59	в слове	4	13
60	никогда не	7	12
61	в отношении	4	12
62	и потому	13	12
63	а в	9	12
64	или в	7	12
65	во всяком	14	12
66	и наконец	2	12
67	еще не	12	12
68	и к	9	12
69	с ними	2	11
70	одной стороны	2	11
71	слова как	3	11
72	в этих	6	11
73	с одной	3	11
74	для него	4	11
75	все они	5	10
76	в своем	7	10
77	в том	35	10
78	и все	13	10
79	она не	3	10
80	в себе	23	10
81	с другими	6	10
82	всех этих	6	10
83	в него	2	10
84	т д	20	10
85	в языке	4	10
86	уже не	12	10
87	зрения на	2	10
88	его в	4	9
89	и от	11	9
90	одним из	2	9
91	или менее	2	9
92	к нему	3	9
93	более или	2	9
94	здесь в	3	9
95	в их	2	9
96	в своей	8	9
97	этом случае	8	9
98	сказать что	24	9
99	так как	14	9
100	поэтому и	3	9
101	с ее	5	9
102	но не	6	9
103	в смысле	2	9
104	конечно не	3	9
105	он не	10	9
106	быть и	3	9
107	в зависимости	3	8
108	в ней	12	8
109	не на	2	8
110	все время	2	8
111	с этим	5	8
112	в значительной	2	8
113	и часто	2	8
114	зависимости от	3	8
115	в самом	4	8
116	входит в	3	8
117	для нас	23	8
118	всяком случае	8	8
119	перед нами	8	7
120	том что	25	7
121	от него	2	7
122	друг друга	5	7
123	но именно	4	7
124	его не	2	7
125	о нем	2	7
126	того же	2	7
127	в целом	9	7
128	у тургенева	2	7
129	связи с	10	7
130	здесь не	11	7
131	за пределы	6	7
132	но все	5	7
133	также и	22	7
134	связанные с	2	7
135	еще более	3	7
136	жизни и	7	7
137	не было	6	7
138	и непосредственно	3	7
139	в таком	11	7
140	кроме того	5	7
141	же и	7	7
142	во всем	2	7
143	мы уже	4	7
144	даже в	2	6
145	ничего не	4	6
146	бы и	7	6
147	а также	6	6
148	xix века	2	6
149	одновременно и	4	6
150	что в	11	6
151	ни в	17	6
152	в контексте	3	6
153	дело с	3	6
154	в качестве	10	6
155	мы сказали	2	6
156	можно сказать	10	6
157	другой стороны	11	6
158	говорить о	7	6
159	в новое	3	6
160	и там	2	6
161	и здесь	8	6
162	стороны и	3	6
163	хотя бы	6	6
164	конечно и	2	6
165	связан с	2	6
166	он в	3	6
167	именно в	4	6
168	по себе	36	6
169	в одном	4	6
170	а как	2	5
171	героя в	2	5
172	только на	6	5
173	а вовсе	3	5
174	не менее	24	5
175	но оно	3	5
176	мы не	15	5
177	и по	3	5
178	почти всегда	4	5
179	в других	2	5
180	хотя и	9	5
181	особенно в	2	5
182	для этого	9	5
183	в данном	14	5
184	и при	2	5
185	с их	2	5
186	в результате	8	5
187	и может	4	5
188	не является	19	5
189	для того	5	5
190	и более	6	5
191	речи в	2	5
192	о том	14	5
193	той же	2	5
194	уже в	5	5
195	или даже	6	5
196	и сам	6	5
197	вместе с	3	5
198	литературы и	2	4
199	оно и	2	4
200	для всех	3	4
201	так же	11	4
202	но как	6	4
203	образом в	2	4
204	и ее	7	4
205	в другом	4	4
206	что и	11	4
207	в виду	20	4
208	что он	16	4
209	эти категории	3	4
210	однако в	3	4
211	в виде	20	4
212	в частности	4	4
213	того что	10	4
214	может иметь	4	4
215	мы видели	2	4
216	как предмет	2	4
217	до сих	4	4
218	даже и	33	4
219	в чем	5	4
220	что оно	4	4
221	не столько	2	4
222	того чтобы	4	4
223	и во	5	4
224	же как	5	4
225	те или	9	4
226	одно и	4	4
227	или иные	6	4
228	только и	9	4
229	но это	13	4
230	его как	3	4
231	дело не	4	4
232	в которой	3	4
233	и как	4	4
234	и образ	6	4
235	если бы	9	4
236	вообще не	5	4
237	с этой	3	4
238	в условиях	7	4
239	и о	8	4
240	или как	4	4
241	в известной	3	4
242	сих пор	4	4
243	формы и	3	4
244	к тому	4	4
245	от его	4	4
246	эти слова	2	4
