N	3gram	Voloshinov	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	2	19
4	по отношению к	3	15
5	в том что	2	14
6	с самого начала	2	10
7	языка как системы	2	7
8	с другой стороны	2	7
9	с одной стороны	2	6
10	вполне понятно что	3	4
11	в зависимости от	2	4
12	и то же	2	3
13	социального общения и	2	3
14	одно и то	3	3
15	изолированное монологическое высказывание	2	3
16	в жизненной речи	2	3
17	тех пор пока	3	2
18	то же слово	2	2
19	до тех пор	4	2
20	ничего общего с	2	2
21	в данном случае	2	2
22	в г в	2	2
23	есть прежде всего	3	2
24	того или иного	2	2
