N	3gram	Vygotskiy_	KulturaY
1	для того чтобы	24	38
2	с точки зрения	31	36
3	в том что	24	33
4	в самом деле	4	29
5	можно было бы	5	25
6	тем не менее	4	19
7	с другой стороны	3	17
8	в зависимости от	6	16
9	до сих пор	6	14
10	только потому что	3	13
11	по отношению к	9	13
12	в этом отношении	7	11
13	не может быть	6	11
14	о том что	4	10
15	в этом смысле	2	10
16	вместе с тем	6	9
17	на самом деле	2	8
18	не только в	2	8
19	в этом случае	15	8
20	только в том	2	7
21	в той мере	2	7
22	той мере в	2	7
23	мере в какой	2	7
24	с одной стороны	7	7
25	в свою очередь	3	7
26	в то же	2	6
27	той или иной	2	6
28	в первую очередь	3	6
29	этой точки зрения	4	6
30	в отличие от	4	6
31	потому что он	4	5
32	в данном случае	5	5
33	и в этом	2	5
34	с этой точки	4	5
35	как мы видели	7	5
36	в конечном счете	2	4
37	точно так же	3	4
38	сам по себе	2	4
39	в первом случае	5	4
40	одного и того	3	4
41	том что он	2	4
42	в этой области	2	4
43	бы сказать что	4	4
44	заключается в том	9	4
45	так же как	13	4
46	к тому что	10	4
47	на то что	5	4
48	состоит в том	3	4
49	в том и	3	4
50	смысле этого слова	4	4
51	и того же	3	4
52	от того что	2	3
53	в лучшем случае	3	3
54	в силу того	6	3
55	в письменной речи	7	3
56	не могут быть	3	3
57	и тогда когда	2	3
58	в то время	8	3
59	ни в какой	2	3
60	силу того что	6	3
61	именно в силу	3	3
62	в какой мере	2	3
63	в известном смысле	2	3
64	и вместе с	2	3
65	вместо того чтобы	2	3
66	в том смысле	2	3
67	в той же	2	3
68	нужно было бы	2	3
69	отношений между понятиями	2	2
70	в силу этого	2	2
71	и то же	3	2
72	прежде всего в	2	2
73	и той же	5	2
74	и тем же	2	2
75	друг от друга	3	2
76	мы знаем что	2	2
77	потому что они	2	2
78	по сравнению со	3	2
79	из того что	5	2
80	свое выражение в	5	2
81	и там где	2	2
82	в большинстве случаев	2	2
83	таким образом в	2	2
84	в собственном смысле	4	2
85	том смысле что	2	2
86	то что мы	3	2
87	мы могли бы	9	2
88	в том числе	2	2
89	одной и той	5	2
90	лишь в той	2	2
91	не до конца	2	2
92	едва ли не	3	2
93	внимание на то	2	2
94	том что оно	3	2
95	одним и тем	2	2
96	как увидим ниже	2	2
97	можно сказать что	7	2
98	на первых порах	3	2
99	какой мере не	2	2
100	по сравнению с	20	2
