N	2gram	Medvedev_V	Formalny
1	и в	26	95
2	т е	18	94
3	и не	20	78
4	может быть	23	66
5	в этом	29	61
6	не может	17	57
7	вовсе не	3	53
8	таким образом	32	52
9	и его	6	51
10	так и	6	50
11	точки зрения	3	47
12	в нем	7	42
13	в его	15	42
14	прежде всего	13	41
15	как и	7	39
16	и т	25	37
17	художественного произведения	6	36
18	не в	6	35
19	в самом	4	35
20	в процессе	17	34
21	а не	7	34
22	но и	10	33
23	то же	10	32
24	не только	26	30
25	в пределах	5	28
26	в том	15	26
27	отнюдь не	4	26
28	если бы	3	26
29	то что	7	25
30	в своей	4	24
31	лишь в	2	24
32	в ней	2	23
33	связи с	5	23
34	было бы	8	23
35	в то	6	22
36	и ее	4	22
37	как бы	5	21
38	что в	11	21
39	в их	5	20
40	не менее	2	20
41	между ними	3	20
42	и от	3	20
43	с тем	4	20
44	же время	5	20
45	не могут	10	19
46	все это	13	19
47	хотя бы	20	19
48	т д	16	19
49	художественное произведение	7	19
50	по себе	2	19
51	т п	9	18
52	все же	6	18
53	все эти	8	18
54	в связи	4	18
55	должна быть	2	18
56	с его	4	18
57	и их	3	18
58	только в	8	18
59	идеологического творчества	2	17
60	произведения в	7	17
61	как раз	4	17
62	так же	3	16
63	в искусстве	6	16
64	во всяком	2	16
65	с другой	11	16
66	всяком случае	2	16
67	его в	3	15
68	но в	2	15
69	бы в	3	15
70	с другими	2	15
71	должно быть	2	15
72	во всех	7	15
73	именно в	3	15
74	что он	4	14
75	в целом	5	14
76	в ее	4	14
77	в своем	8	14
78	еще не	2	14
79	в жизни	2	14
80	в этой	4	14
81	и потому	2	14
82	произведения и	7	14
83	в единстве	4	14
84	жизни и	3	14
85	вместе с	8	14
86	того что	3	13
87	а в	3	13
88	могут быть	8	13
89	для них	2	13
90	что и	3	13
91	сводится к	3	13
92	в результате	5	13
93	она не	3	13
94	по отношению	7	12
95	как это	12	12
96	того чтобы	3	12
97	к тому	5	12
98	отношению к	7	12
99	и для	2	12
100	никогда не	5	11
101	этом отношении	14	11
102	это и	6	11
103	они не	2	11
104	в общем	2	11
105	так сказать	2	11
106	но не	2	11
107	произведения как	6	11
108	что они	3	11
109	для него	9	11
110	зависимости от	5	11
111	между тем	6	11
112	не о	2	10
113	действительности и	7	10
114	и др	10	10
115	в художественном	10	10
116	формы и	2	10
117	в зависимости	6	10
118	не было	7	10
119	по существу	4	10
120	мы видели	3	10
121	другой стороны	8	10
122	художественной структуры	2	10
123	не является	5	10
124	как о	3	10
125	и как	3	10
126	в своих	2	10
127	главным образом	7	10
128	он не	2	10
129	в слове	3	10
130	и может	2	9
131	в каждом	2	9
132	и даже	2	9
133	у нас	3	9
134	говорить о	2	9
135	мы знаем	3	9
136	это не	7	8
137	до сих	2	8
138	одной стороны	2	8
139	в них	5	8
140	с одной	2	8
141	в области	2	8
142	же как	2	8
143	с этим	3	8
144	всех этих	3	8
145	сих пор	2	8
146	следует что	2	8
147	должен быть	4	8
148	и к	3	8
149	роль в	4	8
150	для того	3	8
151	не следует	8	8
152	на основе	5	8
153	вот как	4	7
154	том что	8	7
155	в себе	6	7
156	или менее	6	7
157	его от	2	7
158	стороны и	2	7
159	более или	6	7
160	даже и	3	7
161	художественном произведении	4	7
162	сказать что	5	7
163	говорит в	3	7
164	к этому	9	7
165	того или	2	7
166	творчества и	3	7
167	в особенности	2	7
168	и наконец	2	7
169	из них	11	7
170	он и	2	7
171	же и	3	7
172	чем же	4	7
173	произведения а	2	6
174	в которой	2	6
175	в конце	3	6
176	на этом	2	6
177	у них	2	6
178	в частности	12	6
179	тому что	7	6
180	его не	3	6
181	один из	6	6
182	познания и	4	6
183	должны быть	2	6
184	ее в	4	6
185	к его	2	6
186	из этих	7	6
187	они и	2	6
188	отличается от	2	6
189	в статье	4	6
190	от его	2	6
191	но для	2	6
192	не по	2	6
193	искусства и	2	6
194	нет и	3	6
195	например в	3	6
196	о том	10	6
197	их в	7	6
198	только не	2	6
199	даже в	5	5
200	могло бы	2	5
201	и формы	2	5
202	что оно	3	5
203	от того	2	5
204	в виду	4	5
205	а как	2	5
206	в основном	7	5
207	одной из	2	5
208	так например	2	5
209	не приходится	2	5
210	то это	2	5
211	что не	3	5
212	в значительной	3	5
213	и по	3	5
214	даже не	2	5
215	можно сказать	4	5
216	как от	2	5
217	на язык	2	5
218	хотя и	2	5
219	бы и	6	5
220	да и	2	5
221	если в	2	5
222	произведения не	2	5
223	не столько	2	5
224	как например	2	5
225	а о	2	5
226	восприятия и	2	5
227	в котором	3	5
228	приводит к	6	5
229	тому как	3	5
230	равно как	4	5
231	же в	7	5
232	как на	3	5
233	чтобы не	2	4
234	очевидно что	7	4
235	но даже	3	4
236	одним из	5	4
237	конце концов	2	4
238	как он	3	4
239	тогда когда	2	4
240	п в	3	4
241	в романе	4	4
242	он в	2	4
243	никаких оснований	2	4
244	и непосредственно	2	4
245	или в	3	4
246	во всей	2	4
247	этот процесс	3	4
248	одна из	4	4
249	только то	2	4
250	а к	2	4
251	своем содержании	3	4
252	реальной действительности	10	4
253	на него	2	4
254	в последнем	2	4
255	в целях	2	4
256	подобно тому	3	4
