N	2gram	Propp_Isto	OGranits
1	и в	41	13
2	и его	11	12
3	прежде всего	6	9
4	и не	12	8
5	не может	19	8
6	может быть	19	8
7	в его	4	7
8	и пр	2	7
9	точки зрения	4	7
10	не только	30	6
11	мы должны	7	6
12	как бы	8	6
13	таким образом	15	6
14	только в	10	6
15	то что	12	6
16	все же	14	5
17	и эта	5	5
18	и наконец	6	5
19	мы можем	11	4
20	но в	7	4
21	то же	12	4
22	но мы	3	4
23	в своей	4	4
24	все это	9	4
25	было бы	4	4
26	мы не	10	4
27	никогда не	16	3
28	и то	3	3
29	и все	6	3
30	связана с	4	3
31	в ее	3	3
32	превращается в	10	3
33	с этим	3	3
34	отношению к	3	3
35	как и	8	3
36	не в	12	3
37	в их	4	3
38	так как	21	3
39	в себе	3	3
40	что в	21	3
41	по отношению	3	3
42	но для	3	3
43	так и	8	3
44	что же	2	3
45	в которой	2	3
46	в одном	2	3
47	здесь мы	11	3
48	но и	20	3
49	не столько	4	3
50	в самом	2	2
51	могут быть	3	2
52	мы видим	14	2
53	своего рода	7	2
54	в этом	19	2
55	в них	4	2
56	данном случае	7	2
57	в руках	2	2
58	в книге	5	2
59	кажется что	7	2
60	уже в	4	2
61	в том	14	2
62	тем что	11	2
63	в целом	2	2
64	если бы	3	2
65	от этого	2	2
66	думать что	3	2
67	с одной	12	2
68	не имеет	6	2
69	зависимости от	4	2
70	и др	4	2
71	но так	4	2
72	ее в	3	2
73	в действительности	2	2
74	с другой	20	2
75	там где	7	2
76	от всех	2	2
77	а в	12	2
78	и тем	4	2
79	том что	18	2
80	а как	2	2
81	а также	2	2
82	в связи	3	2
83	в зависимости	3	2
84	в данном	8	2
85	не менее	5	2
86	с ними	2	2
87	все эти	8	2
88	в области	3	2
89	связанные с	3	2
90	так же	6	2
91	от своего	2	2
92	что они	5	2
93	мы уже	10	2
94	те же	2	2
95	героя и	5	2
96	и при	2	2
97	с этой	7	2
98	его на	2	2
99	в нем	12	2
100	в тех	8	2
101	при этом	7	2
102	и ее	6	2
103	что иное	2	2
104	а не	9	2
105	в ней	4	2
106	вслед за	2	2
107	еще в	3	2
108	как в	17	2
109	другой стороны	17	2
110	во всем	2	2
111	одной стороны	12	2
112	в целях	2	2
113	в чем	5	2
114	тот же	2	2
115	в другом	2	2
116	вовсе не	6	2
117	в ряд	3	2
118	к тому	4	2
