N	3gram	Berdyaev_M	slovoVRo
1	не может быть	22	19
2	в отношении к	3	12
3	человек и его	2	12
4	в значительной степени	2	7
5	не может не	2	6
6	в том что	3	5
7	не только в	2	5
8	может быть и	2	5
9	хотя бы и	2	5
10	по отношению к	4	5
11	у него нет	4	4
12	для того чтобы	4	4
13	в его романах	2	4
14	оно не может	2	4
15	никогда не может	2	4
16	и не может	2	4
17	до сих пор	5	4
18	не могут быть	2	4
19	человеке и его	5	3
20	как и в	2	3
21	а не только	3	2
22	между тем как	2	2
23	он никогда не	3	2
24	его отношение к	2	2
25	и в нем	3	2
26	ни в чем	2	2
27	в нем не	2	2
28	о том что	3	2
29	это не значит	2	2
30	и не было	2	2
31	в то время	2	2
32	уже не только	2	2
33	в такой степени	2	2
34	но и в	4	2
35	в чем не	2	2
36	то время как	2	2
37	тем что он	2	2
38	друг для друга	2	2
