N	3gram	Tiupa_Teor	Istorich
1	с другой стороны	6	46
2	с одной стороны	3	28
3	в том что	10	25
4	не может быть	5	24
5	тем не менее	3	23
6	мы имеем в	3	19
7	в связи с	3	17
8	в данном случае	5	15
9	по отношению к	10	14
10	как и в	2	10
11	более или менее	6	9
12	подобно тому как	3	8
13	этой точки зрения	2	6
14	с этой точки	2	6
15	для того чтобы	5	5
16	в том числе	3	5
17	в отличие от	7	5
18	состоит в том	6	4
19	можно сказать что	3	4
20	с точки зрения	3	4
21	так или иначе	5	4
22	и то же	2	3
23	бы то ни	2	3
24	это своего рода	2	3
25	то ни было	2	3
26	не только не	2	3
27	но он не	2	3
28	не могло быть	2	3
29	в соответствии с	2	3
30	к тому что	2	3
31	и тем самым	2	3
32	в самом деле	2	2
33	может быть и	2	2
34	сама по себе	2	2
35	не могут быть	2	2
36	может быть названо	2	2
37	и не могло	2	2
38	том что он	2	2
39	тогда как в	2	2
40	одно и то	2	2
41	в таком случае	2	2
42	том числе и	2	2
43	в свою очередь	3	2
44	мы имеем дело	2	2
