N	2gram	Vygotskiy_	VrazhdaK
1	не только	16	9
2	и что	29	8
3	в этом	37	8
4	и в	65	8
5	что в	36	7
6	но и	6	7
7	и все	14	7
8	то что	61	7
9	но в	5	6
10	как и	12	6
11	в котором	7	6
12	в нем	8	6
13	и с	4	6
14	о нем	2	6
15	все же	10	6
16	в романе	2	6
17	и даже	4	6
18	и не	20	5
19	не было	4	5
20	об этом	4	5
21	то же	17	5
22	в то	5	5
23	у него	6	5
24	между тем	10	5
25	для нас	14	4
26	целый ряд	6	4
27	несмотря на	7	4
28	в своих	6	4
29	это не	7	4
30	в виду	6	4
31	все это	12	4
32	при этом	10	4
33	о том	17	4
34	в ней	23	4
35	как бы	29	4
36	так же	12	4
37	что он	23	4
38	в истории	3	4
39	в дневнике	3	4
40	с ним	6	4
41	может быть	33	4
42	в том	46	3
43	в чем	3	3
44	одним из	2	3
45	его в	5	3
46	далеко не	3	3
47	что у	7	3
48	и уже	5	3
49	и во	3	3
50	в своем	8	3
51	том что	28	3
52	в его	11	3
53	и о	6	3
54	раз в	7	3
55	и его	8	3
56	и как	10	3
57	он был	3	3
58	в русской	4	3
59	он не	11	3
60	речь идет	7	3
61	связи с	2	3
62	эти слова	5	3
63	к этому	5	3
64	но он	5	3
65	чтобы он	3	3
66	на то	25	3
67	я не	9	3
68	наряду с	4	3
69	в конце	5	3
70	с его	2	3
71	тем что	7	3
72	никогда не	9	2
73	в одну	2	2
74	и то	10	2
75	в них	4	2
76	уже не	2	2
77	в мире	3	2
78	одна из	6	2
79	к ним	3	2
80	место в	6	2
81	в той	8	2
82	для него	4	2
83	при помощи	7	2
84	и это	13	2
85	с точки	11	2
86	как же	2	2
87	мы знаем	3	2
88	а в	9	2
89	в этой	20	2
90	столь же	5	2
91	в нашей	2	2
92	в своей	6	2
93	как раз	14	2
94	же в	2	2
95	но как	3	2
96	и он	5	2
97	в себе	9	2
98	еще не	3	2
99	точки зрения	19	2
100	в повести	2	2
101	же как	3	2
102	тем более	2	2
103	это в	3	2
104	после этого	5	2
105	таким образом	21	2
106	и ее	4	2
107	во время	4	2
108	отношения к	3	2
109	в свою	6	2
110	по мнению	2	2
111	на это	6	2
112	их в	4	2
113	в эту	2	2
114	не может	17	2
115	из них	10	2
116	но это	6	2
117	к себе	2	2
118	с которым	2	2
119	отнюдь не	2	2
120	этот рассказ	5	2
121	а с	4	2
122	не мог	4	2
123	вместе с	10	2
124	отношение к	2	2
