N	2gram	Berdyaev_M	Stilisti
1	и в	61	42
2	как бы	10	30
3	не только	42	28
4	прежде всего	18	22
5	хотя бы	8	18
6	то же	4	16
7	но и	34	16
8	и не	26	14
9	не может	39	13
10	может быть	42	13
11	как и	14	12
12	точки зрения	6	11
13	в себе	12	10
14	и как	3	10
15	в этом	34	10
16	в то	2	9
17	для того	4	9
18	все же	2	9
19	то что	10	9
20	эти слова	2	9
21	мы не	2	9
22	ничего не	4	8
23	так как	10	8
24	и это	16	8
25	с тем	10	8
26	в ней	23	8
27	что же	2	8
28	с его	6	8
29	никогда не	30	7
30	и от	3	7
31	в которой	8	7
32	и той	2	7
33	так и	5	7
34	потому что	25	7
35	только в	7	7
36	а не	36	7
37	и на	9	7
38	того чтобы	4	7
39	было бы	11	7
40	и его	13	7
41	той же	3	7
42	когда мы	2	6
43	бы в	3	6
44	во всех	3	6
45	не в	16	6
46	в конце	11	6
47	в нем	26	6
48	в свою	5	6
49	в его	10	6
50	в этой	12	6
51	и то	2	5
52	все время	3	5
53	в нашем	2	5
54	то есть	3	5
55	мы увидим	4	5
56	и их	3	5
57	самом деле	2	5
58	тому что	2	5
59	а в	4	5
60	но в	12	5
61	те же	5	5
62	в самом	15	5
63	и с	6	5
64	уже в	6	5
65	в той	3	5
66	вместе с	7	5
67	что это	5	4
68	человека не	6	4
69	так же	5	4
70	о своей	2	4
71	его в	6	4
72	если бы	5	4
73	лишь в	8	4
74	не что	4	4
75	у нас	13	4
76	к своему	2	4
77	того что	13	4
78	всего в	2	4
79	один из	9	4
80	одной и	2	4
81	и все	13	4
82	в каждом	4	4
83	к тому	6	4
84	о том	5	4
85	что такое	2	4
86	уже не	8	4
87	и к	9	4
88	не существует	5	4
89	мы видим	4	4
90	было в	3	4
91	все это	6	4
92	себя в	6	4
93	заключает в	3	4
94	не к	6	4
95	и без	2	4
96	сказать что	5	3
97	на самом	2	3
98	это не	10	3
99	том что	7	3
100	а к	2	3
101	в начале	2	3
102	и эта	3	3
103	но для	2	3
104	и поэтому	3	3
105	долгое время	2	3
106	об этом	2	3
107	от того	4	3
108	и здесь	6	3
109	целый ряд	2	3
110	роль в	2	3
111	конце концов	3	3
112	в виду	2	3
113	та же	4	3
114	в том	9	3
115	он должен	4	3
116	у них	4	3
117	его и	2	3
118	как в	9	3
119	и вот	7	3
120	не знает	12	3
121	в разных	3	3
122	для него	28	3
123	по своему	3	3
124	то он	3	3
125	не так	6	3
126	и для	7	3
127	нет и	6	3
128	что у	3	3
129	и социального	2	3
130	в котором	9	3
131	быть может	9	3
132	жизни это	4	3
133	не будет	3	3
134	если он	7	3
135	для нас	3	3
136	хотя и	2	3
137	природы он	2	3
138	жизни и	6	3
139	что и	6	3
140	в ее	3	3
141	все эти	3	3
142	конечно не	3	3
143	что было	2	3
144	перед ним	3	3
145	отношения к	6	3
146	между тем	2	3
147	вряд ли	3	3
148	в основе	4	3
149	не мог	6	3
150	что иное	4	2
151	до конца	16	2
152	в каком	2	2
153	в отношении	6	2
154	для этого	3	2
155	вопрос о	7	2
156	почувствовал что	2	2
157	вращается вокруг	3	2
158	и потому	17	2
159	значительной степени	2	2
160	которые в	2	2
161	с этим	4	2
162	относится к	2	2
163	на два	2	2
164	нет ничего	9	2
165	в движении	4	2
166	человека и	19	2
167	бы и	8	2
168	должно быть	5	2
169	и нет	3	2
170	к этому	3	2
171	с ней	3	2
172	по отношению	4	2
173	с самим	5	2
174	чего же	2	2
175	иное как	4	2
176	у человека	6	2
177	отношение к	9	2
178	друг друга	12	2
179	есть не	9	2
180	должен быть	4	2
181	в середине	4	2
182	я и	3	2
183	но эта	2	2
184	тем что	7	2
185	человека в	26	2
186	бы не	4	2
187	в их	4	2
188	другого человека	2	2
189	в значительной	2	2
190	в этих	6	2
191	что он	16	2
192	по своей	4	2
193	перейти в	2	2
194	нас не	2	2
195	связано с	5	2
196	ни к	2	2
197	отношению к	4	2
198	себе и	4	2
199	к чему	5	2
200	сих пор	5	2
201	его не	5	2
202	себе в	3	2
203	увидим что	5	2
204	в жизни	7	2
205	в мире	12	2
206	на этот	2	2
207	но не	8	2
208	и этот	4	2
209	в него	3	2
210	про себя	2	2
211	также и	6	2
212	к нему	8	2
213	прежде чем	2	2
214	в своих	4	2
215	еще более	3	2
216	с собой	5	2
217	одни и	2	2
218	даже и	2	2
219	не есть	21	2
220	в которых	5	2
221	и те	4	2
222	и он	21	2
223	разных местах	2	2
224	место в	4	2
225	о чем	3	2
226	для них	3	2
227	ли он	2	2
228	и ивана	3	2
229	человека с	2	2
230	не было	25	2
231	и когда	2	2
232	человек не	17	2
233	но это	8	2
234	и жизнь	3	2
235	в своей	18	2
236	ответить на	2	2
237	и тогда	2	2
238	не будут	2	2
239	был бы	11	2
240	он не	34	2
241	с ним	5	2
242	этот процесс	5	2
243	к миру	3	2
