N	2gram	Kanaev_Sov	KFilosof
1	может быть	12	45
2	в его	2	42
3	в нем	3	32
4	не может	17	29
5	и не	6	28
6	и в	7	28
7	в себе	3	21
8	а не	3	17
9	в этом	7	15
10	не в	3	13
11	точки зрения	12	13
12	все эти	5	11
13	это не	4	10
14	в целом	4	10
15	все это	3	10
16	с точки	5	10
17	и есть	2	10
18	как бы	4	9
19	и все	3	9
20	жизни и	4	8
21	было бы	3	8
22	совершенно не	2	7
23	уже не	2	7
24	отнюдь не	3	7
25	в том	4	6
26	но все	2	6
27	принципиально не	2	5
28	все же	3	5
29	не только	4	5
30	то же	3	5
31	еще не	3	5
32	а в	4	5
33	но в	3	5
34	как и	6	5
35	в одном	3	5
36	что это	2	4
37	что в	2	4
38	и т.д	3	4
39	времени и	2	4
40	прежде всего	5	4
41	для нас	3	4
42	при этом	3	4
43	ничего не	6	3
44	в каждом	8	3
45	самом деле	2	3
46	к чему	2	3
47	и пр	2	3
48	нет и	4	3
49	не менее	2	3
50	а все	3	3
51	в свою	2	3
52	могут быть	2	3
53	мы не	9	3
54	может дать	2	3
55	тот же	2	3
56	не дает	2	3
57	быть и	2	3
58	ясно что	3	3
59	конечно в	2	2
60	и мы	3	2
61	или иной	2	2
62	и потому	3	2
63	говорить о	2	2
64	то ни	2	2
65	вопрос о	4	2
66	тем не	2	2
67	в виде	2	2
68	в области	3	2
69	из которых	2	2
70	со всеми	2	2
71	может иметь	2	2
72	он может	3	2
73	еще более	2	2
74	ни одна	2	2
75	говорим о	2	2
76	и именно	2	2
77	которой он	2	2
78	может не	3	2
79	ведь это	3	2
80	в этой	3	2
81	мы получим	3	2
