N	3gram	Voloshinov	Analitik
1	не может быть	2	19
2	по отношению к	2	18
3	в то же	9	16
4	о том что	2	15
5	той или иной	4	14
6	то же время	7	14
7	того или иного	5	9
8	в свою очередь	4	9
9	в этом отношении	2	8
10	не только в	3	8
11	с точки зрения	5	8
12	что иное как	2	7
13	не что иное	2	6
14	есть не что	2	5
15	но и в	3	5
16	в этом случае	3	5
17	в самом деле	2	4
18	для того чтобы	7	4
19	и тем самым	3	4
20	в значительной степени	2	4
21	тех или иных	3	4
22	то же самое	4	3
23	и как бы	2	3
24	тот или иной	2	3
25	в связи с	2	3
26	одной и той	4	3
27	и те же	2	3
28	одни и те	2	3
29	можно сказать что	2	3
30	и той же	4	3
31	в зависимости от	7	3
32	одно и то	5	2
33	и то же	5	2
34	тех случаях когда	2	2
35	в тех случаях	2	2
36	же самое время	2	2
37	внутренней и внешней	3	2
38	но в то	2	2
39	прежде всего в	4	2
40	к тому что	2	2
41	смысле этого слова	2	2
42	на первый взгляд	2	2
