N	2gram	Bakhtin_Fr	KulturaY
1	и в	105	84
2	в том	17	74
3	потому что	6	68
4	не только	24	60
5	точки зрения	10	59
6	в этом	22	57
7	было бы	4	53
8	и не	34	52
9	может быть	11	47
10	том что	9	44
11	того чтобы	3	44
12	что в	4	44
13	для того	2	41
14	в самом	7	41
15	самом деле	3	37
16	хотя бы	2	37
17	так как	11	36
18	с точки	6	36
19	в области	10	34
20	таким образом	5	33
21	можно было	4	32
22	не в	4	30
23	прежде всего	26	30
24	в его	24	30
25	и пр	5	30
26	все же	10	29
27	того что	3	28
28	не менее	2	28
29	все эти	15	28
30	уже не	3	26
31	не может	9	25
32	то что	7	25
33	вовсе не	25	25
34	еще не	8	24
35	с другой	3	24
36	так и	16	23
37	то же	6	23
38	только в	16	23
39	во всяком	2	20
40	но и	20	20
41	что он	5	19
42	но в	16	19
43	тем что	5	19
44	о том	5	19
45	всяком случае	2	19
46	между тем	5	18
47	связи с	5	18
48	все это	16	18
49	к тому	3	18
50	в сущности	20	18
51	как бы	33	18
52	и с	8	18
53	это не	4	17
54	как раз	3	17
55	можно говорить	3	17
56	в той	5	17
57	в виду	5	16
58	ничего не	3	16
59	что не	3	16
60	что и	2	16
61	тот же	4	16
62	но не	7	16
63	по отношению	2	15
64	один из	5	15
65	а в	4	15
66	при этом	10	15
67	целый ряд	2	15
68	лишь в	4	15
69	ни к	2	15
70	именно в	6	15
71	не было	3	15
72	как на	4	15
73	в нашем	3	15
74	в них	13	14
75	в связи	2	14
76	хотя и	4	14
77	как мы	12	14
78	сказать что	12	14
79	отношению к	2	14
80	сих пор	7	14
81	также и	3	14
82	и на	25	14
83	в ней	7	14
84	до сих	7	14
85	не могут	4	13
86	это и	3	13
87	по существу	2	13
88	между прочим	2	13
89	в пределах	3	13
90	в этой	11	13
91	для нас	5	13
92	там где	3	13
93	и его	24	13
94	этот вопрос	2	12
95	как в	6	12
96	могут быть	4	12
97	еще и	6	11
98	в таких	2	11
99	или иной	5	11
100	в их	6	11
101	в своем	11	11
102	речи и	2	11
103	из этих	7	11
104	в нем	16	11
105	этом отношении	5	11
106	совершенно не	5	11
107	и здесь	4	11
108	в какой	2	11
109	уже в	5	11
110	он не	3	11
111	так же	2	10
112	в то	5	10
113	к этому	2	10
114	в общем	4	10
115	как и	15	10
116	тех же	3	10
117	бы в	2	10
118	несмотря на	5	10
119	в особенности	7	10
120	от того	2	10
121	на фоне	4	10
122	конечно не	2	10
123	не просто	3	10
124	в целом	3	9
125	xix века	6	9
126	здесь не	3	9
127	и для	3	9
128	в своей	8	9
129	можно сказать	4	9
130	что слово	3	9
131	рядом с	9	9
132	но это	5	9
133	и вот	5	9
134	на то	2	9
135	но для	3	9
136	что мы	2	9
137	на самом	6	8
138	в частности	6	8
139	мы видели	3	8
140	в своих	8	8
141	в чем	2	8
142	с одной	2	8
143	и о	4	8
144	в тех	5	8
145	что они	2	8
146	слов и	2	8
147	с его	9	8
148	своего рода	2	8
149	да и	5	8
150	по преимуществу	3	8
151	и как	2	8
152	об этом	2	8
153	в этих	6	8
154	но все	5	8
155	далеко не	6	8
156	в таком	2	8
157	же в	4	8
158	до конца	4	7
159	в процессе	2	7
160	и потому	14	7
161	не знает	6	7
162	как например	2	7
163	она не	2	7
164	одной стороны	2	7
165	с ними	2	7
166	например в	3	7
167	так сказать	5	7
168	в истории	5	7
169	что касается	3	7
170	и более	4	7
171	в г	3	7
172	в самой	5	7
173	есть в	6	7
174	на этот	3	7
175	с ним	6	7
176	в одном	8	7
177	и вовсе	5	7
178	учение о	2	7
179	даже в	6	6
180	свое время	5	6
181	его к	2	6
182	в себе	7	6
183	как к	3	6
184	говоря о	2	6
185	роль в	6	6
186	на этом	2	6
187	отличие от	5	6
188	в свое	6	6
189	на этой	5	6
190	в отличие	4	6
191	в ее	5	6
192	той или	5	6
193	не на	2	6
194	на язык	2	6
195	по поводу	2	6
196	за пределы	10	6
197	или в	2	6
198	же время	5	6
199	так называемые	2	6
200	оно не	2	6
201	приводит к	2	6
202	главным образом	6	6
203	и именно	2	6
204	никогда не	11	5
205	в отношении	7	5
206	и к	7	5
207	мы должны	2	5
208	относится к	4	5
209	в духе	9	5
210	в форме	6	5
211	к себе	3	5
212	в другом	2	5
213	в конце	3	5
214	и у	7	5
215	по своему	9	5
216	о нем	4	5
217	в большей	8	5
218	даже и	5	5
219	так в	4	5
220	но как	3	5
221	отметить что	2	5
222	интерес к	2	5
223	и от	3	5
224	время в	3	5
225	и он	3	5
226	и еще	5	5
227	всех этих	10	5
228	и даже	10	5
229	кроме того	2	5
230	превращается в	6	5
231	у него	2	5
232	на протяжении	9	5
233	отношение к	9	5
234	конечно и	4	5
235	еще более	6	5
236	и их	3	5
237	точка зрения	3	5
238	но с	2	5
239	мы находим	4	5
240	не о	2	4
241	его в	7	4
242	о которых	2	4
243	в наши	2	4
244	о чем	3	4
245	еще раз	4	4
246	к которому	2	4
247	и выражения	2	4
248	точку зрения	2	4
249	связано с	2	4
250	подойти к	2	4
251	характер и	4	4
252	одно из	7	4
253	так например	3	4
254	и все	7	4
255	к нему	5	4
256	это уже	4	4
257	себе и	2	4
258	и без	4	4
259	в узком	4	4
260	между ними	4	4
261	которое в	2	4
262	на все	5	4
263	здесь мы	2	4
264	пор еще	4	4
265	как известно	2	4
266	представление о	2	4
267	могла бы	2	4
268	в году	13	4
269	по сравнению	2	4
270	это в	5	4
271	на это	2	4
272	и по	3	4
273	мы можем	2	4
274	в условиях	15	4
275	формы и	7	4
276	отношения к	5	4
277	ни на	3	4
278	не к	2	4
279	что для	3	4
280	в смысле	2	4
281	связанные с	2	4
282	и это	3	4
283	зрения на	3	4
284	но на	3	4
285	выражение в	5	4
286	из которых	2	4
287	из них	7	4
288	не понимает	4	4
289	в ряду	3	4
290	именно на	2	4
291	но он	5	4
292	и становится	2	4
293	мы и	4	4
294	подчеркнуть что	2	4
295	и следовательно	3	3
296	во французском	2	3
297	на эту	2	3
298	в это	2	3
299	во многих	2	3
300	на некоторых	2	3
301	наряду с	2	3
302	и эти	2	3
303	и другие	10	3
304	и со	3	3
305	в романе	8	3
306	в искусстве	3	3
307	себе в	2	3
308	образом в	3	3
309	этом что	2	3
310	в него	2	3
311	в свете	3	3
312	значение для	2	3
313	всего что	2	3
314	на него	2	3
315	она была	6	3
316	мы наблюдаем	3	3
317	в более	4	3
318	как именно	2	3
319	форм в	2	3
320	большинстве случаев	2	3
321	более того	3	3
322	но здесь	4	3
323	на них	3	3
324	на его	4	3
325	или меньшей	7	3
326	в начале	4	3
327	не для	2	3
328	в собственном	4	3
329	и дальше	2	3
330	под влиянием	3	3
331	на котором	3	3
332	в устах	2	3
333	на материале	3	3
334	во время	14	3
335	значение и	3	3
336	в дальнейшем	10	3
337	таковы например	4	3
338	в обычном	3	3
339	смысла и	2	3
340	меньшей степени	8	3
341	статье о	2	3
342	этой же	2	3
343	менее всего	5	3
344	нет и	2	3
345	мысли и	4	3
346	та же	2	3
347	в других	3	3
348	одним из	4	3
349	в целях	2	3
350	но даже	2	3
351	быть только	3	3
352	только с	3	3
353	для него	12	3
354	выходит за	5	3
355	он в	2	3
356	все что	2	3
357	собственном смысле	3	3
358	в большинстве	2	3
359	литературе и	3	3
360	большей или	7	3
361	и действительно	2	3
362	раз и	2	3
363	к жизни	2	3
364	с их	7	3
365	в некоторых	2	3
366	или даже	2	3
367	мы будем	4	3
368	без всякого	3	3
369	в системе	3	3
370	выражения и	2	2
371	начиная с	2	2
372	во все	2	2
373	которого они	2	2
374	явления как	2	2
375	из всех	3	2
376	от него	2	2
377	в состоянии	3	2
378	эти два	2	2
379	для которого	2	2
380	конечно в	2	2
381	связанных с	4	2
382	еще на	2	2
383	есть и	2	2
384	этих форм	6	2
385	вся эта	4	2
386	в основном	4	2
387	и всякая	2	2
388	известной мере	6	2
389	это как	5	2
390	связанная с	3	2
391	одной из	3	2
392	и др	32	2
393	в разных	2	2
394	узком смысле	2	2
395	уже к	2	2
396	культуры в	4	2
397	он пишет	2	2
398	том числе	10	2
399	форме и	2	2
400	не могла	2	2
401	них как	2	2
402	для них	2	2
403	здесь в	14	2
404	его от	2	2
405	жизни и	14	2
406	думать что	2	2
407	своей статье	2	2
408	и до	6	2
409	и самый	2	2
410	всегда в	3	2
411	прав он	2	2
412	у других	2	2
413	в применении	3	2
414	они являются	4	2
415	с традициями	2	2
416	ее в	2	2
417	литература и	2	2
418	он называет	2	2
419	с этими	2	2
420	например на	2	2
421	культуры но	4	2
422	одна из	5	2
423	на тех	2	2
424	можно только	5	2
425	другом месте	2	2
426	же с	2	2
427	дело в	2	2
428	этот процесс	5	2
429	это было	2	2
430	поэтому и	5	2
431	применении к	3	2
432	имеет место	2	2
433	этого процесса	4	2
434	мы найдем	2	2
435	и часто	3	2
