N	3gram	Medvedev_V	formyVre
1	и т п	9	32
2	то же время	5	21
3	в то же	5	18
4	в связи с	4	15
5	для того чтобы	3	12
6	не только в	2	11
7	до сих пор	2	10
8	и в то	3	10
9	в том числе	2	8
10	в этом отношении	14	7
11	и т д	16	7
12	не может быть	8	7
13	с одной стороны	2	6
14	во всех этих	2	6
15	в том что	5	5
16	том числе и	2	5
17	одной стороны и	2	5
18	с другой стороны	8	4
19	во всяком случае	2	4
20	по отношению к	7	4
21	равно как и	4	4
22	также и в	2	3
23	в другом месте	2	3
24	в зависимости от	5	3
25	о том как	3	3
26	о том что	3	3
27	вместе с тем	4	3
28	в точном смысле	2	3
29	в этом процессе	2	3
30	в значительной мере	3	2
31	не было бы	4	2
32	к тому что	4	2
33	можно сказать что	4	2
34	и др в	3	2
35	в частности в	2	2
36	не только для	2	2
37	лишь в пределах	2	2
