N	3gram	Berdyaev_M	formyVre
1	для того чтобы	4	12
2	но и в	4	12
3	не только в	2	11
4	до сих пор	5	10
5	прежде всего в	2	7
6	не может быть	22	7
7	мы еще вернемся	2	6
8	в том что	3	5
9	как и в	2	5
10	в то время	2	5
11	с самим собою	2	4
12	то время как	2	4
13	может быть и	2	4
14	по отношению к	4	4
15	также и в	2	3
16	а не в	4	3
17	в чем не	2	3
18	ни в чем	2	3
19	друг к другу	6	3
20	о том что	3	3
21	в нем не	2	3
22	вместе с тем	5	3
23	по сравнению с	2	3
24	и та же	2	2
25	в центре его	2	2
26	оно не может	2	2
27	по природе своей	2	2
28	у него нет	4	2
29	это значит что	3	2
30	но он не	3	2
31	не было бы	5	2
32	с тем что	3	2
33	что и в	3	2
34	и вместе с	4	2
35	одна и та	2	2
36	он не знает	2	2
37	и в самом	3	2
