N	2gram	Potebnia_M	DiskursI
1	а не	38	60
2	может быть	47	56
3	не только	32	49
4	и в	58	49
5	как и	16	47
6	тогда как	10	47
7	при этом	17	46
8	в том	38	44
9	и не	34	44
10	то есть	69	41
11	том что	21	40
12	в этом	18	38
13	в себе	22	37
14	но и	26	35
15	но не	19	31
16	со стороны	11	28
17	так и	17	28
18	но в	12	28
19	не может	30	27
20	по своей	2	26
21	как в	18	25
22	еще не	9	23
23	все же	11	19
24	прежде всего	8	19
25	в нем	26	19
26	в своей	3	19
27	далеко не	4	18
28	по отношению	15	17
29	то же	13	17
30	с другой	13	17
31	отношению к	13	17
32	в мире	3	17
33	точки зрения	8	16
34	только в	36	16
35	в его	7	15
36	то что	24	15
37	о том	6	15
38	это не	10	14
39	не в	23	14
40	не менее	10	14
41	одной стороны	6	14
42	с одной	7	14
43	в целом	3	13
44	для него	13	13
45	как бы	12	13
46	в своем	3	12
47	и все	6	12
48	того же	13	12
49	в своих	4	12
50	и на	8	12
51	что в	34	11
52	с его	3	11
53	и как	11	11
54	столь же	6	11
55	не было	7	11
56	для себя	4	10
57	а в	11	10
58	не столько	3	10
59	же время	4	10
60	тем самым	6	9
61	в то	6	9
62	между тем	7	9
63	в них	7	9
64	уже не	4	9
65	внимание на	3	9
66	человека в	3	8
67	и о	3	8
68	к тому	5	8
69	потому что	89	8
70	не на	3	8
71	хотя и	6	8
72	если в	3	8
73	в противоположность	2	8
74	и даже	4	8
75	в этих	10	8
76	не с	2	8
77	в себя	2	8
78	в котором	5	8
79	в одном	13	8
80	из них	2	8
81	он не	4	8
82	не следует	6	8
83	его в	3	7
84	могут быть	17	7
85	и для	8	7
86	но это	7	7
87	что и	16	7
88	например в	4	7
89	в этой	3	7
90	другой стороны	7	7
91	к этому	3	7
92	лишь в	2	7
93	ни для	2	7
94	ни в	2	7
95	той же	3	7
96	и его	7	7
97	таким образом	21	7
98	никогда не	7	6
99	в одной	2	6
100	не как	4	6
101	что он	5	6
102	одно из	5	6
103	именно в	2	6
104	тому как	8	6
105	одного из	3	6
106	однако в	4	6
107	что же	3	6
108	здесь не	2	6
109	крайней мере	6	6
110	и может	5	6
111	в сущности	2	6
112	в истории	8	6
113	в ее	2	6
114	имеет место	4	6
115	и то	4	6
116	одна из	4	6
117	то в	6	6
118	дело в	3	6
119	во всех	12	6
120	времени и	3	6
121	по крайней	6	6
122	в которых	2	6
123	с точки	4	6
124	и того	6	6
125	ничего не	2	5
126	в другом	3	5
127	проявляется в	2	5
128	в виду	2	5
129	в их	3	5
130	не всегда	2	5
131	свою очередь	8	5
132	и потому	7	5
133	того что	15	5
134	к ним	3	5
135	стороны и	3	5
136	во втором	6	5
137	несмотря на	5	5
138	один из	2	5
139	в ряду	6	5
140	того как	12	5
141	как будто	2	5
142	сказать что	5	5
143	но она	3	5
144	значительной степени	3	5
145	но при	3	5
146	из этих	8	5
147	так сказать	5	5
148	за пределы	4	5
149	с ее	2	5
150	переход от	2	5
151	мысль о	8	5
152	одного и	6	5
153	себе не	3	5
154	что касается	2	5
155	в свою	8	5
156	подобно тому	7	5
157	оно не	4	5
158	может служить	2	5
159	на этом	3	5
160	в ней	9	5
161	при котором	3	5
162	тем что	15	5
163	не могут	10	4
164	из того	3	4
165	слова не	2	4
166	для меня	4	4
167	а на	2	4
168	и тем	5	4
169	одном из	3	4
170	и это	3	4
171	только на	4	4
172	ни одна	2	4
173	его на	3	4
174	чего не	3	4
175	что не	15	4
176	и во	6	4
177	не ограничивается	3	4
178	что они	6	4
179	в первом	5	4
180	должны быть	11	4
181	для обозначения	2	4
182	во всяком	9	4
183	хотя в	3	4
184	по мере	10	4
185	тем не	11	4
186	связи с	6	4
187	одним из	2	4
188	в какой	2	4
189	есть в	4	4
190	в жизни	5	4
191	но уже	2	4
192	в самом	5	4
193	не есть	13	4
194	из виду	2	4
195	зависит от	6	4
196	по себе	24	4
197	не для	2	4
198	к другому	2	4
199	в основании	3	4
200	не более	4	4
201	или в	4	4
202	и есть	4	4
203	с ним	7	4
204	вопрос о	5	3
205	и притом	6	3
206	для человека	3	3
207	указывает на	2	3
208	понятие о	2	3
209	различие между	2	3
210	в полном	2	3
211	имея в	3	3
212	к другим	3	3
213	виду что	2	3
214	там же	9	3
215	к которому	5	3
216	языка и	20	3
217	в одно	5	3
218	говорящего и	2	3
219	в формах	3	3
220	в действительности	6	3
221	но оно	3	3
222	на основании	3	3
223	то она	3	3
224	как на	5	3
225	а его	3	3
226	что ни	2	3
227	но как	4	3
228	о котором	4	3
229	она не	3	3
230	на том	2	3
231	они не	5	3
232	более или	6	3
233	заметить что	7	3
234	что на	9	3
235	для этого	2	3
236	о его	2	3
237	все эти	3	3
238	было бы	21	3
239	мы не	17	3
240	должна быть	4	3
241	как мы	3	3
242	и от	5	3
243	или не	3	3
244	с этим	11	3
245	в начале	2	3
246	бы быть	7	3
247	хотя бы	4	3
248	в которой	5	3
249	к ней	3	3
250	и по	8	3
251	как не	4	3
252	обнаруживается в	2	3
253	заключается в	3	3
254	дело с	2	3
255	и более	3	3
256	или менее	6	3
257	но все	4	3
258	отношения к	2	3
259	не имеет	9	3
260	их в	2	3
261	уже в	5	3
262	всяком случае	7	3
263	жизни и	3	3
264	слова в	7	3
265	то ни	3	3
266	имеет дело	2	3
267	или даже	3	3
268	место в	3	3
269	жизни но	2	3
270	слова и	7	3
271	и что	13	3
272	и без	4	3
273	тем же	4	3
274	вместе с	12	3
275	и развития	2	2
276	чтобы не	3	2
277	к одному	3	2
278	очевидно что	5	2
279	которое может	2	2
280	его к	3	2
281	мы должны	4	2
282	для всех	6	2
283	не имеют	7	2
284	вслед за	2	2
285	вопроса о	2	2
286	в каждом	6	2
287	все то	2	2
288	друг друга	6	2
289	есть не	7	2
290	сами по	8	2
291	от своего	2	2
292	света и	3	2
293	к мысли	3	2
294	и при	6	2
295	о которых	5	2
296	самом деле	2	2
297	с таким	3	2
298	одной и	4	2
299	для кого	2	2
300	в чем	6	2
301	его не	3	2
302	что даже	2	2
303	мы видели	5	2
304	так например	5	2
305	в душе	28	2
306	к нему	2	2
307	ожидания и	3	2
308	с самого	5	2
309	в г	2	2
310	мысли о	6	2
311	не заключает	3	2
312	а только	8	2
313	или по	2	2
314	те же	4	2
315	первобытный человек	2	2
316	не имея	2	2
317	а потому	14	2
318	так в	4	2
319	возможно только	6	2
320	ответ на	2	2
321	не то	3	2
322	же не	2	2
323	не могло	3	2
324	самого начала	5	2
325	что с	3	2
326	в собственном	4	2
327	себя и	3	2
328	в памяти	3	2
329	все это	3	2
330	этого слова	5	2
331	и они	2	2
332	на язык	7	2
333	вовсе не	13	2
334	бы то	2	2
335	по поводу	7	2
336	и вообще	5	2
337	не могли	2	2
338	в разные	2	2
339	не от	4	2
340	могла бы	5	2
341	различия в	3	2
342	с другими	3	2
343	его с	3	2
344	только то	3	2
345	что так	2	2
346	тем более	2	2
347	вопросом о	2	2
348	бытия и	3	2
349	должно быть	9	2
350	что она	3	2
351	это было	3	2
352	мысли и	9	2
353	в теории	2	2
354	мы можем	10	2
355	на него	6	2
356	за ним	2	2
357	в утверждении	2	2
358	на деле	6	2
359	если бы	23	2
360	и той	4	2
361	и действия	2	2
362	народа и	2	2
363	что как	4	2
364	в языке	36	2
365	и вполне	2	2
366	сознания в	2	2
367	ни было	4	2
368	для того	8	2
369	и их	6	2
370	с этой	3	2
371	в последнем	2	2
372	такой же	4	2
373	не по	4	2
374	себе и	2	2
375	нас в	2	2
376	указания на	5	2
377	заключает в	6	2
378	человеком и	4	2
379	том и	2	2
380	языка с	6	2
381	и должно	2	2
382	к языку	6	2
383	речи и	11	2
384	на этот	2	2
385	у него	3	2
386	ни с	2	2
387	точке зрения	4	2
388	не должно	2	2
389	которое по	2	2
390	на то	5	2
391	в самой	5	2
392	с понятием	2	2
393	а между	5	2
394	еще более	2	2
395	видеть в	3	2
396	лица и	2	2
397	время и	2	2
398	и с	3	2
399	но на	3	2
400	обратить внимание	2	2
401	деятельности в	2	2
402	к общему	4	2
403	не знаем	2	2
404	этом основании	2	2
405	к их	2	2
406	природу и	2	2
407	себя а	2	2
408	служит для	2	2
409	человек не	2	2
410	в некоторых	4	2
411	по его	7	2
412	он есть	3	2
413	только о	2	2
414	и только	6	2
415	во всем	5	2
416	в нашем	2	2
417	на их	2	2
418	и понимание	3	2
419	а как	3	2
