N	3gram	Propp_Russ	VeschiIm
1	и т д	12	38
2	не что иное	3	12
3	что иное как	3	12
4	тем не менее	3	11
5	в том что	27	9
6	т е в	6	7
7	на то что	2	7
8	с точки зрения	3	6
9	подобно тому как	3	5
10	в свою очередь	2	5
11	о том что	6	4
12	в то время	3	4
13	мы не можем	5	3
14	можно было бы	2	3
15	вместе с тем	10	3
16	все же не	2	3
17	но все же	2	2
18	для того чтобы	6	2
19	к тому что	4	2
20	в связи с	4	2
21	так же как	5	2
22	только тогда когда	3	2
23	в данном случае	7	2
24	т е на	2	2
25	и в этом	2	2
26	в том чтобы	2	2
