N	3gram	Medvedev_V	RusskieA
1	в том что	5	49
2	и т д	16	21
3	вместе с тем	4	11
4	о том что	3	10
5	в том чтобы	2	9
6	для того чтобы	3	8
7	подобно тому как	3	8
8	т е в	2	7
9	о том же	3	7
10	по этому поводу	7	6
11	не может быть	8	6
12	после того как	2	6
13	в связи с	4	5
14	к тому что	4	5
15	мы видели что	3	5
16	во всяком случае	2	4
17	можно было бы	2	4
18	более или менее	6	3
19	по отношению к	7	3
20	до сих пор	2	3
21	в этом и	2	2
22	можно сказать что	4	2
23	в этом отношении	14	2
24	о том как	3	2
25	иметь в виду	2	2
26	не только в	2	2
27	во всех этих	2	2
28	с одной стороны	2	2
29	и т п	9	2
30	с другой стороны	8	2
31	равно как и	4	2
