N	2gram	Tiupa_Lite	UchenyiS
1	и в	26	14
2	не только	29	10
3	а не	28	10
4	и не	19	8
5	прежде всего	14	8
6	то что	14	7
7	не может	10	7
8	в этом	19	7
9	эстетического объекта	7	6
10	в искусстве	4	6
11	может быть	24	6
12	перестает быть	5	5
13	и только	4	5
14	то же	13	5
15	художественного творчества	3	5
16	хотя бы	3	5
17	в художественном	6	5
18	художественное произведение	2	5
19	в конечном	9	4
20	но и	25	4
21	в этой	7	4
22	конечном счете	8	4
23	что такое	2	4
24	с другой	11	4
25	в россии	2	4
26	в их	3	4
27	у нас	5	3
28	в частности	18	3
29	для этого	5	3
30	и т.д	8	3
31	это не	4	3
32	очевидно что	2	3
33	и то	3	3
34	в своей	5	3
35	все же	6	3
36	не как	4	3
37	как и	13	3
38	в то	12	3
39	но в	5	3
40	же время	12	3
41	произведения искусства	4	3
42	ни было	2	3
43	было бы	4	3
44	в области	5	3
45	другой стороны	5	3
46	для него	6	3
47	в самом	4	2
48	в себе	8	2
49	что он	8	2
50	крайней мере	2	2
51	таким образом	4	2
52	но не	8	2
53	более чем	4	2
54	между тем	2	2
55	самом деле	2	2
56	только в	8	2
57	одним из	8	2
58	в противовес	2	2
59	и является	2	2
60	не есть	2	2
61	ничего не	3	2
62	даже и	2	2
63	и с	4	2
64	не случайно	5	2
65	тех или	2	2
66	что и	3	2
67	искусства как	2	2
68	или иных	2	2
69	по крайней	2	2
70	могут быть	4	2
71	но даже	2	2
72	превращается в	2	2
73	тем что	6	2
74	том что	19	2
75	а как	2	2
76	в его	9	2
77	это уже	2	2
78	сводится к	4	2
79	все они	2	2
80	в том	22	2
81	этом отношении	5	2
82	с его	5	2
83	как раз	6	2
84	должна быть	3	2
85	но это	2	2
86	для всех	5	2
87	по существу	4	2
88	не в	11	2
89	нам представляется	3	2
90	в конце	6	2
91	мы не	5	2
92	в итоге	2	2
93	не столько	8	2
