N	2gram	Tiupa_Narr	slovoVRo
1	и в	22	92
2	в романе	3	89
3	и т	3	82
4	т п	2	72
5	то есть	15	64
6	в нем	9	59
7	может быть	24	59
8	и его	12	59
9	и не	34	51
10	чужого слова	4	46
11	не только	50	44
12	не может	16	41
13	но и	39	39
14	до конца	2	37
15	в этом	23	36
16	а не	27	34
17	во всех	2	32
18	так и	12	30
19	точки зрения	8	30
20	в пределах	2	29
21	в его	12	27
22	слова в	4	26
23	как бы	11	24
24	то же	12	23
25	и на	5	22
26	не в	12	21
27	в сущности	2	21
28	как в	9	21
29	вовсе не	2	21
30	в то	9	20
31	в процессе	2	20
32	прежде всего	7	19
33	как мы	3	19
34	или иной	6	18
35	как и	15	18
36	себя в	4	18
37	же время	7	18
38	с ним	6	18
39	все же	10	17
40	оно не	4	17
41	все эти	3	17
42	и даже	4	17
43	таким образом	5	17
44	к своему	2	16
45	отличие от	6	16
46	при этом	31	16
47	но в	10	16
48	той или	7	15
49	и с	3	15
50	со своим	2	15
51	в той	4	15
52	с точки	2	15
53	человек и	2	15
54	в отличие	6	14
55	так сказать	4	14
56	только в	23	14
57	это не	6	13
58	точка зрения	5	13
59	с его	6	13
60	в особенности	2	13
61	и для	4	13
62	с другой	6	13
63	на фоне	2	13
64	в слове	4	13
65	никогда не	8	12
66	и потому	2	12
67	отношение к	2	12
68	а в	19	12
69	или в	7	12
70	во всяком	2	12
71	и наконец	2	12
72	еще не	6	12
73	точек зрения	2	12
74	и к	7	12
75	один из	8	11
76	с ними	5	11
77	одной стороны	5	11
78	в этих	3	11
79	всех его	2	11
80	с одной	5	11
81	для него	8	11
82	в своем	7	10
83	в том	20	10
84	и все	7	10
85	она не	2	10
86	в себе	14	10
87	в него	2	10
88	лишь в	3	10
89	далеко не	6	10
90	уже не	11	10
91	зрения на	2	10
92	и от	3	9
93	одним из	2	9
94	или менее	2	9
95	к нему	5	9
96	более или	2	9
97	в своей	8	9
98	сказать что	5	9
99	одна из	5	9
100	с ее	3	9
101	героя и	4	9
102	но не	7	9
103	он не	8	9
104	быть и	3	9
105	в зависимости	3	8
106	в ней	5	8
107	все время	2	8
108	они могут	2	8
109	национального языка	2	8
110	зависимости от	3	8
111	человека в	2	8
112	в самом	8	8
113	входит в	2	8
114	для нас	2	8
115	всяком случае	2	8
116	перед нами	9	7
117	том что	15	7
118	друг друга	2	7
119	язык как	2	7
120	но именно	3	7
121	о нем	5	7
122	того же	2	7
123	в целом	5	7
124	у тургенева	2	7
125	связи с	3	7
126	например в	2	7
127	у него	13	7
128	и иных	3	7
129	здесь не	4	7
130	также и	4	7
131	автора и	2	7
132	жизни и	7	7
133	не было	3	7
134	в таком	4	7
135	ничего не	8	6
136	как к	3	6
137	роль в	4	6
138	точку зрения	3	6
139	а также	11	6
140	что в	6	6
141	дело с	4	6
142	большей или	2	6
143	в качестве	27	6
144	можно сказать	11	6
145	другой стороны	2	6
146	и здесь	3	6
147	хотя бы	4	6
148	именно в	5	6
149	человек в	3	6
150	в свою	4	6
151	по себе	4	6
152	в одном	5	6
153	мира и	2	6
154	по своим	2	6
155	между тем	5	6
156	а как	2	5
157	героя в	6	5
158	только на	4	5
159	меньшей степени	2	5
160	не знает	2	5
161	не менее	6	5
162	отношению к	5	5
163	мы не	5	5
164	и по	3	5
165	в других	2	5
166	хотя и	8	5
167	особенно в	3	5
168	или напротив	3	5
169	в данном	17	5
170	по отношению	5	5
171	в результате	4	5
172	этом отношении	5	5
173	не является	7	5
174	для того	4	5
175	его и	2	5
176	должна быть	2	5
177	и более	2	5
178	на протяжении	12	5
179	они не	3	5
180	о том	5	5
181	к его	5	5
182	той же	2	5
183	или даже	3	5
184	и сам	4	5
185	в противовес	3	5
186	но он	2	5
187	с помощью	2	5
188	вместе с	3	5
189	так же	2	4
190	но как	3	4
191	и ее	3	4
192	а на	2	4
193	в другом	5	4
194	что и	3	4
195	в виду	2	4
196	что он	7	4
197	не всегда	4	4
198	однако в	4	4
199	свою очередь	2	4
200	в виде	2	4
201	говорящего и	2	4
202	в частности	23	4
203	связано с	2	4
204	того что	7	4
205	до сих	3	4
206	все его	4	4
207	где они	2	4
208	так в	4	4
209	в чем	3	4
210	не столько	2	4
211	с языком	2	4
212	того чтобы	7	4
213	ли он	2	4
214	же как	2	4
215	одно и	2	4
216	одной из	2	4
217	характер и	3	4
218	но это	2	4
219	его как	2	4
220	дело не	3	4
221	в которой	2	4
222	и как	4	4
223	если бы	9	4
224	с этой	3	4
225	со всеми	3	4
226	и о	4	4
227	сих пор	3	4
228	к тому	13	4
229	от его	2	4
230	в литературе	8	4
231	своего и	2	4
232	с установкой	2	4
233	которая не	3	4
234	и чужого	2	4
235	о себе	2	4
236	из них	4	4
237	и уже	4	4
