N	3gram	Trubetskoy	KulturaY
1	для того чтобы	6	38
2	с точки зрения	9	36
3	в том что	7	33
4	можно было бы	3	25
5	во всяком случае	6	19
6	до сих пор	5	14
7	не может быть	4	11
8	о том что	2	10
9	вместе с тем	3	9
10	того или иного	2	9
11	на самом деле	6	8
12	в этом случае	3	8
13	в том случае	4	7
14	только в том	2	7
15	в то же	10	6
16	той или иной	3	6
17	то же время	10	6
18	более или менее	4	5
19	в данном случае	3	5
20	точно так же	2	4
21	к тому что	2	4
22	лишь в том	2	4
23	на то что	4	4
24	в том и	2	4
25	к вопросу о	3	4
26	в настоящее время	2	3
27	в лучшем случае	3	3
28	с тем чтобы	3	3
29	о котором идет	2	3
30	том случае если	3	3
31	в конце концов	3	3
32	чтобы понять что	2	3
33	и вместе с	2	3
34	к тому чтобы	4	3
35	сама по себе	2	3
36	что он не	2	2
37	бы то ни	4	2
38	друг от друга	2	2
39	а следовательно и	2	2
40	в большинстве случаев	2	2
41	это потому что	2	2
42	за последнее время	2	2
43	и в другом	2	2
44	и в том	2	2
45	котором идет речь	2	2
