N	3gram	Losev_Dial	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	12	37
4	и т д	28	33
5	то же самое	3	30
6	вовсе не есть	3	30
7	в связи с	3	29
8	той или иной	4	26
9	по крайней мере	11	26
10	во всяком случае	3	25
11	с точки зрения	18	25
12	с другой стороны	7	25
13	содержит в себе	5	23
14	в конце концов	4	23
15	в таком случае	2	23
16	сама по себе	12	21
17	сам по себе	8	21
18	на то что	4	19
19	в этом смысле	4	19
20	ни в каком	9	18
21	в то же	7	17
22	точно так же	3	16
23	до сих пор	4	14
24	не что иное	4	14
25	что иное как	4	14
26	как будто бы	3	14
27	на самом деле	3	13
28	ничего общего с	3	13
29	сами по себе	4	13
30	можно было бы	4	13
31	не есть ни	7	13
32	это значит что	16	13
33	не может быть	4	12
34	в то время	2	12
35	можно сказать что	6	12
36	той или другой	7	12
37	и в этом	4	12
38	так или иначе	3	12
39	то время как	2	12
40	в каком случае	5	12
41	и в частности	4	12
42	есть не что	3	11
43	или по крайней	2	11
44	с одной стороны	3	11
45	более или менее	5	10
46	только то что	6	10
47	не только в	2	10
48	в той или	3	10
49	то и другое	3	9
50	может быть и	6	9
51	не есть только	4	9
52	не имеет ничего	3	9
53	и ни в	2	9
54	т д и	3	9
55	каком случае не	3	9
56	имеет ничего общего	3	9
57	только тогда когда	4	8
58	может быть только	2	8
59	д и т	3	8
60	потому что он	5	8
61	на самом же	2	8
62	самом же деле	2	8
63	это вовсе не	2	8
64	иметь в виду	4	7
65	с самого начала	2	7
66	к тому же	2	7
67	это и есть	3	7
68	мы находим в	2	7
69	имеется в виду	3	7
70	то или иное	4	7
71	когда мы говорим	2	7
72	только потому что	4	7
73	и то же	8	6
74	крайней мере в	3	6
75	ни в какой	3	6
76	по себе но	2	6
77	само по себе	7	6
78	в том смысле	4	6
79	тех или других	4	6
80	на первый взгляд	2	6
81	в самом деле	3	6
82	то это значит	3	6
83	не есть просто	2	6
84	в этом отношении	2	6
85	не имеет никакого	3	6
86	тем или другим	2	5
87	не просто как	2	5
88	по себе а	2	5
89	потому что они	2	5
90	с той или	2	5
91	по себе и	3	5
92	что в нем	4	5
93	да и то	3	5
94	та или иная	4	5
95	одно и то	8	5
96	в зависимости от	2	5
97	том смысле что	3	5
98	ни в чем	2	5
99	это и не	2	5
100	с первого взгляда	2	5
101	не значит что	6	4
102	то в чем	3	4
103	не потому что	5	4
104	не было бы	2	4
105	несет на себе	2	4
106	несмотря на всю	5	4
107	но все же	2	4
108	друг к другу	2	4
109	как это мы	2	4
110	связи с этим	2	4
111	что это за	3	4
112	если иметь в	2	4
113	они вовсе не	2	4
114	ничто не мешает	2	3
115	нельзя сказать что	3	3
116	к тому что	3	3
117	но это не	2	3
118	несмотря на то	2	3
119	и в то	3	3
120	в каком-то смысле	2	3
121	к выводу что	2	3
122	жизни и в	2	3
123	потому что она	3	3
124	вовсе не обязательно	2	3
125	это не значит	3	3
126	все на свете	3	3
127	ровно ничего не	3	3
128	вовсе не в	3	3
129	мы говорим что	2	3
130	и может быть	3	3
131	одной стороны и	3	3
132	как же это	2	3
133	по сравнению с	2	3
134	значит что он	3	2
135	есть не просто	2	2
136	и то и	3	2
137	что он не	2	2
138	или хотя бы	2	2
139	потому что и	2	2
140	ничего не говорит	4	2
141	содержать в себе	3	2
142	и состоит из	2	2
143	что он есть	2	2
144	и не только	4	2
145	так как он	2	2
146	прежде всего символ	2	2
147	нечего и говорить	2	2
148	не что-нибудь иное	2	2
149	и говорить о	2	2
150	т д все	2	2
151	случае не есть	2	2
152	идеи и образа	2	2
153	бы она ни	2	2
154	то же и	2	2
155	никогда не может	2	2
156	того и другого	2	2
157	д все это	2	2
158	не больше как	4	2
159	и т п	3	2
160	даже больше того	2	2
161	в нем и	2	2
162	а потому что	2	2
163	что не есть	3	2
164	принять во внимание	2	2
165	в каждом из	2	2
