N	3gram	Tiupa_Anal	Hudozhes
1	по отношению к	9	10
2	не сводится к	2	9
3	в том что	13	8
4	присутствия в мире	3	7
5	в то же	9	7
6	я в мире	2	7
7	в отличие от	8	7
8	то же время	7	7
9	с другой стороны	2	6
10	более или менее	2	6
11	в конечном счете	5	5
12	состоит в том	6	5
13	для того чтобы	3	5
14	той или иной	8	5
15	так и не	5	4
16	в силу своей	3	4
17	факторов художественного впечатления	8	4
18	того или иного	3	4
19	не может быть	17	4
20	одно и то	2	3
21	и то же	2	3
22	с точки зрения	6	3
23	с одной стороны	6	3
24	в том числе	3	3
25	тем не менее	3	3
26	организации художественного текста	2	3
27	подобно тому как	5	3
28	в этом смысле	3	3
29	в связи с	2	3
30	и того же	2	3
31	кадров внутреннего зрения	4	3
32	и в самом	3	3
33	одного и того	2	3
34	то ни было	3	2
35	совокупность факторов художественного	2	2
36	бы то ни	3	2
37	коем случае не	2	2
38	себя в другом	3	2
39	в коем случае	2	2
40	в известном смысле	2	2
41	в том и	2	2
42	в таком случае	5	2
43	в данный момент	2	2
44	с легкой руки	2	2
45	как бы не	2	2
46	этой точки зрения	2	2
47	в самом деле	3	2
48	как уже говорилось	3	2
49	том что он	2	2
50	мы имеем дело	7	2
51	к тому что	2	2
52	вокруг я героя	2	2
53	я героя как	2	2
54	с этой точки	2	2
55	во внешнем мире	2	2
56	субъектной организации художественного	2	2
57	значении этого слова	7	2
58	в равной степени	2	2
59	тех или иных	3	2
60	ни в коем	2	2
61	в основе своей	2	2
62	в той или	3	2
63	как совокупность факторов	2	2
