N	3gram	Bakhtin_Fr	VLabPisa
1	в этом отношении	5	14
2	не может быть	5	8
3	по отношению к	2	7
4	в то же	5	5
5	в том что	6	5
6	то же время	5	5
7	можно сказать что	3	4
8	не могут быть	2	4
9	подобно тому как	2	3
10	большей или меньшей	7	3
11	для того чтобы	2	3
12	и др в	2	3
13	и в то	2	3
14	о том что	3	3
15	в значительной мере	3	3
16	во всех этих	2	2
17	с одной стороны	2	2
18	во всяком случае	2	2
19	в том числе	10	2
20	или меньшей степени	7	2
21	во всех его	3	2
22	и не может	2	2
23	не только в	5	2
24	том числе и	7	2
25	до сих пор	7	2
26	в другом месте	2	2
27	в большей или	7	2
